Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Inside Ring Width B,Dimension S1,Dimension F,Static Load Rating,Dynamic Load Rating
YAS 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,17 mm,Ball Bearing,GYE17KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS17,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,27.38 mm/1.078 in,15.88 mm/0.625 in,22.86 mm/0.9 in,4700 N/1070 lbf,10700 N/2380 lbf
SAS 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,17 mm,Ball Bearing,GYAE17RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS17,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,23.8 mm/0.9370 in,15.85 mm/0.624 in,24.6 mm/0.969 in,4700 N/1070 lbf,10700 N/2380 lbf
YAK 3/4 SGT,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,GY1012KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK3/4 SGT,31.75 mm/1.25 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,31.8 mm/1.252 in,19.1 mm/0.752 in,27.56 mm/1.085 in,6500 N/1460 lbf,14200 N/3190 lbf
SAK 3/4,3/4 in,31.8 mm / 1.252 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,3/4 in,Ball Bearing,GYA012RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK3/4,31.75 mm/1.25 in,127 mm/5 in,31.8 mm/1.252 in,96 mm/3.78 in,11.1 mm/0.437 in,19.8 mm/0.78 in,11.9 mm,62.7 mm/2.469 in,27 mm/1.063 in,18.14 mm/0.714 in,29 mm/1.142 in,6500 N/1460 lbf,14200 N/3190 lbf
YAS 3/4 SGT,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,GY1012KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS3/4 SGT,33.34 mm/1.313 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,15.1 mm,65.9 mm/2.594 in,31.8 mm/1.252 in,19.1 mm/0.752 in,27.56 mm/1.085 in,6500 N/1460 lbf,14200 N/3190 lbf
SAS 3/4,3/4 in,31.8 mm / 1.252 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,3/4 in,Ball Bearing,GYA012RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS3/4,33.34 mm/1.313 in,127 mm/5 in,31.8 mm/1.252 in,96 mm/3.78 in,11.1 mm/0.437 in,19.8 mm/0.78 in,13.5 mm,64.3 mm/2.531 in,27 mm/1.063 in,18.14 mm/0.714 in,29 mm/1.142 in,6500 N/1460 lbf,14200 N/3190 lbf
YAK 3/4 PT SGT,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,GY1012KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAK 3/4 PT SGT,31.75 mm/1.25 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,31.8 mm/1.252 in,19.1 mm/0.752 in,27.56 mm/1.085 in,6500 N/1460 lbf,14200 N/3190 lbf
YAS 3/4 PT SGT,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,GY1012KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAS 3/4 PT SGT,33.34 mm/1.313 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,15.1 mm,65.9 mm/2.594 in,31.8 mm/1.252 in,19.1 mm/0.752 in,27.56 mm/1.085 in,6500 N/1460 lbf,14200 N/3190 lbf
KAK 3/4 PS,3/4 in,33.3 mm / 1.311 in,890 N / 200 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,3/4 in,Ball Bearing,GKY012RRB,Shroud Seal,Two-Bolt Pillow Block,KAK 3/4,31.75 mm/1.25 in,127 mm/5 in,33.3 mm/1.311 in,96 mm/3.781 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,25.15 mm/0.99 in,18.15 mm/0.714 in,28.52 mm/1.123 in,890 N/200 lbf,
KAS 3/4 PS,3/4 in,33.3 mm / 1.311 in,890 N / 200 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,3/4 in,Ball Bearing,GKY012RRB,Shroud Seal,Two-Bolt Pillow Block,KAS 3/4,33.34 mm/1.938 in,127 mm/5 in,33.3 mm/1.311 in,96 mm/3.781 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,25.15 mm/0.99 in,18.15 mm/0.714 in,28.52 mm/1.123 in,890 N/200 lbf,
