Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Inside Ring Width B,Dimension S1,Dimension F,Static Load Rating,Dynamic Load Rating
SAS1 1/8,1 1/8 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/8 in,Ball Bearing,GYA102RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 1/8,42.86 mm/1.687 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,83.3 mm/3.28 in,32.5 mm/1.28 in,22.85 mm/0.9 in,40.1 mm/1.579 in,11300 N/2530 lbf,21600 N/4850 lbf
YAS1 1/8,1 1/8 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/8 in,Ball Bearing,GY1102KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/8,42.86 mm/1.687 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm/0.66 in,84.9 mm/3.343 in,38.158 mm/1.5023 in,22.278 mm/0.877 in,,11300 N/2530 lbf,21600 N/4850 lbf
YAK1 3/16 SGT,1 3/16 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/16 in,Ball Bearing,GY1103KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 3/16 SGT,39.69 mm/1.563 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
SAK1 3/16,1 3/16 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/16 in,Ball Bearing,GYA103RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 3/16,39.69 mm/1.563 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,80.2 mm/3.157 in,32.5 mm/1.28 in,22.85 mm/0.9 in,40.1 mm/1.579 in,11300 N/2530 lbf,21600 N/4850 lbf
YAS1 3/16 SGT,1 3/16 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/16 in,Ball Bearing,GY1103KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 3/16 SGT,42.86 mm/1.687 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,84.9 mm/3.343 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
SAS1 3/16,1 3/16 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/16 in,Ball Bearing,GYA103RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 3/16,42.86 mm/1.687 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,83.3 mm/3.28 in,32.5 mm/1.28 in,22.85 mm/0.9 in,40.1 mm/1.579 in,11300 N/2530 lbf,21600 N/4850 lbf
YASM1 3/16,1 3/16 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/16 in,Ball Bearing,GYM1103KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM1 3/16,47.62 mm/1.875 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.22 mm/0.56 in,24.64 mm/0.97 in,18.3 mm,93.6 mm/3.685 in,42.87 mm/1.688 in,25.4 mm/1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
YAK1 3/16 PT SGT,1 3/16 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/16 in,Ball Bearing,GY1103KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 3/16 PT SGT,39.69 mm/1.563 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
YAS1 3/16 PT SGT,1 3/16 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/16 in,Ball Bearing,GY1103KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 3/16 PT SGT,42.86 mm/1.687 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,84.9 mm/3.343 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
KAK 1 3/16 PS,1 3/16 in,42.9 mm / 1.689 in,1556 N / 350 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 3/16 in,Ball Bearing,GKY103RRB,Shroud Seal,Two-Bolt Pillow Block,KAK 1 3/16,39.69 mm/1.563 in,157.16 mm/6.188 in,42.9 mm/1.689 in,117.48 mm/4.625 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,31.37 mm/1.235 in,22.37 mm/0.881 in,40.39 mm/1.59 in,1556 N/350 lbf,
KAS 1 3/16 PS,1 3/16 in,42.9 mm / 1.689 in,1556 N / 350 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 3/16 in,Ball Bearing,GKY103RRB,Shroud Seal,Two-Bolt Pillow Block,KAS 1 3/16,42.86 mm/1.688 in,157.16 mm/6.188 in,42.9 mm/1.689 in,117.48 mm/4.625 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,31.37 mm/1.235 in,22.37 mm/0.881 in,40.39 mm/1.59 in,1556 N/350 lbf,
YAS1 3/16,1 3/16 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/16 in,Ball Bearing,GY1103KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 3/16,42.86 mm/1.687 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm/0.66 in,84.9 mm/3.343 in,38.158 mm/1.5023 in,22.278 mm/0.877 in,,11300 N/2530 lbf,21600 N/4850 lbf
YAK1 1/4S,1 1/4 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1103KRRB3,Shroud Seal,Two-Bolt Pillow Block,YAK1 1/4S,39.69 mm/1.563 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
YAK1 1/4 SGT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1104KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 1/4 SGT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
SAK1 1/4 S,1 1/4 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GYA103RRB2,Narrow Shroud,Two-Bolt Pillow Block,SAK1 1/4 S,39.69 mm/1.563 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,80.2 mm/3.157 in,32.5 mm/1.28 in,22.85 mm/0.9 in,40.1 mm/1.579 in,11300 N/2530 lbf,21600 N/4850 lbf
SAK1 1/4,1 1/4 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GYA104RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 1/4,46.04 mm/1.813 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,92.1 mm/3.626 in,36.5 mm/1.4370 in,25.65 mm/1.01 in,46.8 mm/1.8430 in,15300 N/3440 lbf,28500 N/6400 lbf
YAS1 1/4 S,1 1/4 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1103KRRB3,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/4 S,42.86 mm/1.687 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,84.9 mm/3.343 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
YAS1 1/4 SGT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1104KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/4 SGT,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
SAS1 1/4 S,1 1/4 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GYA103RRB2,Narrow Shroud,Two-Bolt Pillow Block,SAS1 1/4 S,42.86 mm/1.687 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,83.3 mm/3.28 in,32.5 mm/1.28 in,22.85 mm/0.9 in,40.1 mm/1.579 in,11300 N/2530 lbf,21600 N/4850 lbf
SAS1 1/4,1 1/4 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GYA104RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 1/4,47.62 mm/1.875 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,93.6 mm/3.685 in,36.5 mm/1.4370 in,25.65 mm/1.01 in,46.8 mm/1.8430 in,15300 N/3440 lbf,28500 N/6400 lbf
YAK1 1/4 PT SGT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1104KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 1/4 PT SGT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
YAK1 1/4S PT,1 1/4 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1103KRRB3 TDCF,Shroud Seal,Two-Bolt Pillow Block,YAK1 1/4S PT,39.69 mm/1.563 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
YAS1 1/4 PT SGT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1104KRRB TDCF SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/4 PT SGT,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
YAS1 1/4S PT,1 1/4 in,42.9 mm / 1.689 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1103KRRB3 TDCF,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/4S PT,42.86 mm/1.687 in,157.2 mm/6.189 in,42.9 mm/1.689 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,84.9 mm/3.343 in,39.1 mm/1.539 in,23.24 mm/0.915 in,40.31 mm/1.5870 in,11300 N/2530 lbf,21600 N/4850 lbf
KAK 1 1/4S PS,1 1/4 in,42.9 mm / 1.689 in,1556 N / 350 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 1/4 in,Ball Bearing,GKY103RRB2,Shroud Seal,Two-Bolt Pillow Block,KAK 1 1/4S,39.69 mm/1.563 in,157.16 mm/6.188 in,42.9 mm/1.689 in,117.48 mm/4.625 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,31.37 mm/1.235 in,22.37 mm/0.881 in,40.39 mm/1.59 in,1556 N/350 lbf,
KAK 1 1/4 PS,1 1/4 in,46.8 mm / 1.843 in,2112 N / 475 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 1/4 in,Ball Bearing,GKY104RRB,Shroud Seal,Two-Bolt Pillow Block,KAK 1 1/4,46 mm/1.813 in,166.69 mm/6.563 in,46.8 mm/1.843 in,130.18 mm/5.125 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,36.68 mm/1.444 in,27.18 mm/1.07 in,47.24 mm/1.86 in,2112 N/475 lbf,
KAS 1 1/4S PS,1 1/4 in,42.9 mm / 1.689 in,1556 N / 350 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 1/4 in,Ball Bearing,GKY103RRB2,Shroud Seal,Two-Bolt Pillow Block,KAS 1 1/4S,42.86 mm/1.688 in,157.16 mm/6.188 in,42.9 mm/1.689 in,117.48 mm/4.625 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,81.8 mm/3.22 in,31.37 mm/1.235 in,22.37 mm/0.881 in,40.39 mm/1.59 in,1556 N/350 lbf,
KAS 1 1/4 PS,1 1/4 in,46.8 mm / 1.843 in,2112 N / 475 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 1/4 in,Ball Bearing,GKY104RRB,Shroud Seal,Two-Bolt Pillow Block,KAS 1 1/4,47.63 mm/1.875 in,166.69 mm/6.563 in,46.8 mm/1.843 in,130.18 mm/5.125 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,36.68 mm/1.444 in,27.18 mm/1.07 in,47.24 mm/1.86 in,2112 N/475 lbf,
YAS1 1/4,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,GY1104KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 1/4,47.63 mm/1.88 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm/0.66 in,95.3 mm/3.752 in,42.93 mm/1.69 in,25.45 mm/1.002 in,,15300 N/3440 lbf,28500 N/6400 lbf
YAK1 3/8 SGT,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,GY1106KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 3/8 SGT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
SAK1 3/8,1 3/8 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/8 in,Ball Bearing,GYA106RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 3/8,46.04 mm/1.813 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,92.1 mm/3.626 in,36.5 mm/1.4370 in,25.65 mm/1.01 in,46.8 mm/1.8430 in,15300 N/3440 lbf,28500 N/6400 lbf
YAS1 3/8 SGT,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,GY1106KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 3/8 SGT,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
SAS1 3/8,1 3/8 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/8 in,Ball Bearing,GYA106RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 3/8,47.62 mm/1.875 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,93.6 mm/3.685 in,36.5 mm/1.4370 in,25.65 mm/1.01 in,46.8 mm/1.8430 in,15300 N/3440 lbf,28500 N/6400 lbf
YAS1 3/8,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,GY1106KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 3/8,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm/0.72 in,95.3 mm/3.752 in,42.93 mm/1.69 in,25.45 mm/1.002 in,,15300 N/3440 lbf,28500 N/6400 lbf
YAK1 7/16 SGT,1 7/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/16 in,Ball Bearing,GY1107KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 7/16 SGT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
SAK1 7/16,1 7/16 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 7/16 in,Ball Bearing,GYA107RRB,Narrow Shroud,Two-Bolt Pillow Block,SAK1 7/16,46.04 mm/1.813 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,92.1 mm/3.626 in,36.5 mm/1.4370 in,25.65 mm/1.01 in,46.8 mm/1.8430 in,15300 N/3440 lbf,28500 N/6400 lbf
YAS1 7/16 SGT,1 7/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/16 in,Ball Bearing,GY1107KRRB SGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 7/16 SGT,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
SAS1 7/16,1 7/16 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 7/16 in,Ball Bearing,GYA107RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 7/16,47.62 mm/1.875 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,93.6 mm/3.685 in,36.5 mm/1.4370 in,25.65 mm/1.01 in,46.8 mm/1.8430 in,15300 N/3440 lbf,28500 N/6400 lbf
YASM1 7/16,1 7/16 in,47.6 mm / 1.874 in,19800 N / 4460 lbf,36200 N / 8130 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/16 in,Ball Bearing,GYM1107KRRB,Shroud Seal,Two-Bolt Pillow Block,YASM1 7/16,53.98 mm/2.125 in,179.4 mm/7.063 in,47.6 mm/1.874 in,136.5 mm/5.374 in,14.22 mm/0.56 in,26.16 mm/1.03 in,23 mm,104.8 mm/4.126 in,49.22 mm/1.938 in,30.17 mm/1.188 in,52.27 mm/2.058 in,19800 N/4460 lbf,36200 N/8130 lbf
SAS1 7/16 FS530,1 7/16 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Narrow Shroud ,Two-Bolt Pillow Block ,,Standard,1 7/16 in,Ball Bearing,GYA107RRB,Narrow Shroud,Two-Bolt Pillow Block,SAS1 7/16 FS530,47.62 mm/1.875 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,93.6 mm/3.685 in,36.5 mm/1.4370 in,25.65 mm/1.01 in,46.8 mm/1.8430 in,15300 N/3440 lbf,28500 N/6400 lbf
YAK1 7/16 PT SGT,1 7/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/16 in,Ball Bearing,GY1107KRR TDCFB SGT,Shroud Seal,Two-Bolt Pillow Block,YAK1 7/16 PT SGT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
YAS1 7/16 PT SGT,1 7/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/16 in,Ball Bearing,GY1107KRRB TDCFSGT,Shroud Seal,Two-Bolt Pillow Block,YAS1 7/16 PT SGT,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,45.41 mm/1.788 in,27.94 mm/1.1 in,46.18 mm/1.818 in,15300 N/3440 lbf,28500 N/6400 lbf
KAK 1 7/16 PS,1 7/16 in,46.8 mm / 1.843 in,2112 N / 475 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 7/16 in,Ball Bearing,GKY107RRB,Shroud Seal,Two-Bolt Pillow Block,KAK 1 7/16,46 mm/1.813 in,166.69 mm/6.563 in,46.8 mm/1.843 in,130.18 mm/5.125 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,36.68 mm/1.444 in,27.18 mm/1.07 in,47.24 mm/1.86 in,2112 N/475 lbf,
KAS 1 7/16 PS,1 7/16 in,46.8 mm / 1.843 in,2112 N / 475 lbf,,Shroud Seal ,Two-Bolt Pillow Block ,,PS,1 7/16 in,Ball Bearing,GKY107RRB,Shroud Seal,Two-Bolt Pillow Block,KAS 1 7/16,47.63 mm/1.875 in,166.69 mm/6.563 in,46.8 mm/1.843 in,130.18 mm/5.125 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,36.68 mm/1.444 in,27.18 mm/1.07 in,47.24 mm/1.86 in,2112 N/475 lbf,
YAS1 7/16,1 7/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 7/16 in,Ball Bearing,GY1107KRRB,Shroud Seal,Two-Bolt Pillow Block,YAS1 7/16,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm/0.72 in,95.3 mm/3.752 in,42.93 mm/1.69 in,25.45 mm/1.002 in,,15300 N/3440 lbf,28500 N/6400 lbf
