Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RV,Dimension SV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVPG13V204S,22213 ,2 1/4 in,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,QVPG13V204SB/QVPG13V204SC/QVPG13V204SEB/QVPG13V204SEC/QVPG13V204SEM/QVPG13V204SEN/QVPG13V204SEO/QVPG13V204SET/QVPG13V204SM/QVPG13V204SN/QVPG13V204SO/QVPG13V204ST,Single V-Lock,Four-Bolt Pillow Block,0883450147156/0883450147408/0883450152426/0883450152570/0883450174657/0883450174886/0883450183635/0883450183789/0883450264440/0883450264754/0883450282383/0883450282536,3.15 in/80 mm,6.1 in/154.9 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.64 in/92.5 mm,0.09 in/2.3 mm,3.36 in/85.3 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPH13V204S,22213 ,2 1/4 in,3 in / 76.2 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,QVPH13V204SB/QVPH13V204SC/QVPH13V204SEB/QVPH13V204SEC/QVPH13V204SEM/QVPH13V204SEN/QVPH13V204SEO/QVPH13V204SET/QVPH13V204SM/QVPH13V204SN/QVPH13V204SO/QVPH13V204ST,Single V-Lock,Four-Bolt Pillow Block,0883450148153/0883450148399/0883450153027/0883450153171/0883450175333/0883450175647/0883450185158/0883450185387/0883450277525/0883450278416/0883450282987/0883450283137,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,2 in/50.8 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.23 in/31.2 mm,0.5 in/12 mm,3.64 in/92.5 mm,0.09 in/2.3 mm,3.36 in/85.3 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.076 mm,0.0037 in/0.094 mm
QVPH15V060S,22215 ,60 mm,3.25 in / 82.6 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,60 mm,Metric,QVPH15V060SB/QVPH15V060SC/QVPH15V060SEB/QVPH15V060SEC/QVPH15V060SEM/QVPH15V060SEN/QVPH15V060SEO/QVPH15V060SET/QVPH15V060SM/QVPH15V060SN/QVPH15V060SO/QVPH15V060ST,Single V-Lock,Four-Bolt Pillow Block,0883450052085/0883450052108/0883450206624/0883450206778/0883450219051/0883450219204/0883450231473/0883450231626/0883450240215/0883450240369/0883450245173/0883450245326,3.25 in/82.6 mm,6.38 in/162.1 mm,3.7 in/94 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.88 in/47.8 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.5 in/12 mm,3.61 in/91.7 mm,0.11 in/2.8 mm,3.25 in/82.6 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPR14V060S,22214 ,60 mm,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,60 mm,Metric,QVPR14V060SB/QVPR14V060SC/QVPR14V060SEB/QVPR14V060SEC/QVPR14V060SEM/QVPR14V060SEN/QVPR14V060SEO/QVPR14V060SET/QVPR14V060SM/QVPR14V060SN/QVPR14V060SO/QVPR14V060ST,Single V-Lock,Four-Bolt Pillow Block,0883450059213/0883450059244/0883450113892/0883450113939/0883450175463/0883450204330/0883450204651/0883450216753/0883450217071/0883450229173/0883450229494/0883450296991,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,7.13 in/181.1 mm,8.75 in/222.3 mm,1.88 in/47.8 mm,10.25 in/260.4 mm,3.25 in/82.6 mm,0.98 in/24.9 mm,0.625 in/16 mm,3.67 in/93.2 mm,0.2 in/5.1 mm,3.19 in/81 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,,,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPK15V060S,22215 ,60 mm,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,60 mm,Metric,QVPK15V060SB/QVPK15V060SC/QVPK15V060SEB/QVPK15V060SEC/QVPK15V060SEM/QVPK15V060SEN/QVPK15V060SEO/QVPK15V060SET/QVPK15V060SM/QVPK15V060SN/QVPK15V060SO/QVPK15V060ST,Single V-Lock,Four-Bolt Pillow Block,0883450054027/0883450054072/0883450207003/0883450207157/0883450219433/0883450219587/0883450231855/0883450232005/0883450240598/0883450240741/0883450245555/0883450245708,3.5 in/88.9 mm,6.83 in/173.5 mm,3.7 in/94 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,4.17 in/105.9 mm,0.11 in/2.8 mm,3.25 in/82.6 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPX14V060S,22214 ,60 mm,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,60 mm,Metric,QVPX14V060SB/QVPX14V060SC/QVPX14V060SEB/QVPX14V060SEC/QVPX14V060SEM/QVPX14V060SEN/QVPX14V060SEO/QVPX14V060SET/QVPX14V060SM/QVPX14V060SN/QVPX14V060SO/QVPX14V060ST,Single V-Lock,Four-Bolt Pillow Block,,3 in/76.2 mm,6.05 in/153.7 mm,3.7 in/94 mm,6.94 in/176.3 mm,9.56 in/242.8 mm,2.63 in/66.8 mm,11.25 in/285.8 mm,3.88 in/98.6 mm,1.22 in/31 mm,0.625 in/16 mm,3.99 in/101.3 mm,0.23 in/5.8 mm,3.19 in/81 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,,,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPF14V060S,22214 ,60 mm,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,60 mm,Metric,QVPF14V060SB/QVPF14V060SC/QVPF14V060SEB/QVPF14V060SEC/QVPF14V060SEM/QVPF14V060SEN/QVPF14V060SEO/QVPF14V060SET/QVPF14V060SM/QVPF14V060SN/QVPF14V060SO/QVPF14V060ST,Single V-Lock,Four-Bolt Pillow Block,883450049399/883450049405/883450111614/883450111652/883450173568/883450203579/883450203951/883450215992/883450216371/883450228411/883450228794/883450296595,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,1.75 in/44.5 mm,9.25 in/235 mm,3 in/76.2 mm,0.98 in/24.9 mm,0.625 in/16 mm,3.55 in/90.2 mm,0.35 in/8.9 mm,3.14 in/79.8 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0037,0.0047,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPG14V060S,22214 ,60 mm,3.15 in / 80 mm,7.18 in / 182.4 mm,8.56 in / 217.4 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,60 mm,Metric,QVPG14V060SB/QVPG14V060SC/QVPG14V060SEB/QVPG14V060SEC/QVPG14V060SEM/QVPG14V060SEN/QVPG14V060SEO/QVPG14V060SET/QVPG14V060SM/QVPG14V060SN/QVPG14V060SO/QVPG14V060ST,Single V-Lock,Four-Bolt Pillow Block,883450420860/883450420877/883450420884/883450420891/883450420907/883450420914/883450420921/883450420938/883450420945/883450420952/883450420969/883450420976,3.15 in/80 mm,6.1 in/154.9 mm,3.7 in/94 mm,7.18 in/182.4 mm,8.56 in/217.4 mm,1.89 in/48 mm,10.31 in/261.9 mm,3.25 in/82.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.67 in/93.2 mm,0.41 in/10.41 mm,3.14 in/79.8 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0037,0.0047,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPG15V207S,22215 ,2 7/16 in,3.15 in / 80 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,QVPG15V207SB/QVPG15V207SC/QVPG15V207SEB/QVPG15V207SEC/QVPG15V207SEM/QVPG15V207SEN/QVPG15V207SEO/QVPG15V207SET/QVPG15V207SM/QVPG15V207SN/QVPG15V207SO/QVPG15V207ST,Single V-Lock,Four-Bolt Pillow Block,0883450050791/0883450206334/0883450206488/0883450218764/0883450218917/0883450231183/0883450231336/0883450239929/0883450240079/0883450244886/0883450245036/0883450296847,3.15 in/80 mm,6.38 in/162.1 mm,3.7 in/94 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.56 in/39.6 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.19 in/30.2 mm,0.625 in/16 mm,3.61 in/91.7 mm,0.2 in/5.1 mm,3.25 in/82.6 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPH15V207S,22215 ,2 7/16 in,3.25 in / 82.6 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,QVPH15V207SB/QVPH15V207SC/QVPH15V207SEB/QVPH15V207SEC/QVPH15V207SEM/QVPH15V207SEN/QVPH15V207SEO/QVPH15V207SET/QVPH15V207SM/QVPH15V207SN/QVPH15V207SO/QVPH15V207ST,Single V-Lock,Four-Bolt Pillow Block,0883450052542/0883450052580/0883450206631/0883450206785/0883450219068/0883450219211/0883450231480/0883450231633/0883450240222/0883450240376/0883450245180/0883450245333,3.25 in/82.6 mm,6.38 in/162.1 mm,3.7 in/94 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.88 in/47.8 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.5 in/12 mm,3.61 in/91.7 mm,0.11 in/2.8 mm,3.25 in/82.6 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
