Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RV,Dimension SV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVPR14V207S,22214 ,2 7/16 in,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 7/16 in,Imperial,QVPR14V207SB/QVPR14V207SC/QVPR14V207SEB/QVPR14V207SEC/QVPR14V207SEM/QVPR14V207SEN/QVPR14V207SEO/QVPR14V207SET/QVPR14V207SM/QVPR14V207SN/QVPR14V207SO/QVPR14V207ST,Single V-Lock,Four-Bolt Pillow Block,0883450059411/0883450059442/0883450114011/0883450114059/0883450175470/0883450204347/0883450204668/0883450216760/0883450217088/0883450229180/0883450229500/0883450297011,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,7.13 in/181.1 mm,8.75 in/222.3 mm,1.88 in/47.8 mm,10.25 in/260.4 mm,3.25 in/82.6 mm,0.98 in/24.9 mm,0.625 in/16 mm,3.67 in/93.2 mm,0.2 in/5.1 mm,3.19 in/81 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,,,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPK15V207S,22215 ,2 7/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,QVPK15V207SB/QVPK15V207SC/QVPK15V207SEB/QVPK15V207SEC/QVPK15V207SEM/QVPK15V207SEN/QVPK15V207SEO/QVPK15V207SET/QVPK15V207SM/QVPK15V207SN/QVPK15V207SO/QVPK15V207ST,Single V-Lock,Four-Bolt Pillow Block,0883450054232/0883450054249/0883450207010/0883450207164/0883450219440/0883450219594/0883450231862/0883450232012/0883450240604/0883450240758/0883450245562/0883450245715,3.5 in/88.9 mm,6.83 in/173.5 mm,3.7 in/94 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,4.17 in/105.9 mm,0.11 in/2.8 mm,3.25 in/82.6 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPX14V207S,22214 ,2 7/16 in,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 7/16 in,Imperial,QVPX14V207SB/QVPX14V207SC/QVPX14V207SEB/QVPX14V207SEC/QVPX14V207SEM/QVPX14V207SEN/QVPX14V207SEO/QVPX14V207SET/QVPX14V207SM/QVPX14V207SN/QVPX14V207SO/QVPX14V207ST,Single V-Lock,Four-Bolt Pillow Block,,3 in/76.2 mm,6.05 in/153.7 mm,3.7 in/94 mm,6.94 in/176.3 mm,9.56 in/242.8 mm,2.63 in/66.8 mm,11.25 in/285.8 mm,3.88 in/98.6 mm,1.22 in/31 mm,0.625 in/16 mm,3.99 in/101.3 mm,0.23 in/5.8 mm,3.19 in/81 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,,,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPF14V207S,22214 ,2 7/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.63 in / 193.8 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 7/16 in,Imperial,QVPF14V207SB/QVPF14V207SC/QVPF14V207SEB/QVPF14V207SEC/QVPF14V207SEM/QVPF14V207SEN/QVPF14V207SEO/QVPF14V207SET/QVPF14V207SM/QVPF14V207SN/QVPF14V207SO/QVPF14V207ST,Single V-Lock,Four-Bolt Pillow Block,883450049436/883450049443/883450111737/883450111775/883450173575/883450203586/883450203968/883450216005/883450216388/883450228428/883450228800/883450296618,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,6.88 in/174.8 mm,7.63 in/193.8 mm,1.75 in/44.5 mm,9.25 in/235 mm,3 in/76.2 mm,0.98 in/24.9 mm,0.625 in/16 mm,3.55 in/90.2 mm,0.35 in/8.9 mm,3.14 in/79.8 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0037,0.0047,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPG15V208S,22215 ,2 1/2 in,3.15 in / 80 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,QVPG15V208SB/QVPG15V208SC/QVPG15V208SEB/QVPG15V208SEC/QVPG15V208SEM/QVPG15V208SEN/QVPG15V208SEO/QVPG15V208SET/QVPG15V208SM/QVPG15V208SN/QVPG15V208SO/QVPG15V208ST,Single V-Lock,Four-Bolt Pillow Block,0883450050821/0883450206341/0883450206495/0883450218771/0883450218924/0883450231190/0883450231343/0883450239936/0883450240086/0883450244893/0883450245043/0883450296854,3.15 in/80 mm,6.38 in/162.1 mm,3.7 in/94 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.56 in/39.6 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.19 in/30.2 mm,0.625 in/16 mm,3.61 in/91.7 mm,0.2 in/5.1 mm,3.25 in/82.6 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.095 mm
QVPG16V211S,22216 ,2 11/16 in,3.74 in / 95 mm,9.25 in / 235 mm,10.5 in / 266.7 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 11/16 in,Imperial,QVPG16V211SB/QVPG16V211SC/QVPG16V211SEB/QVPG16V211SEC/QVPG16V211SEM/QVPG16V211SEN/QVPG16V211SEO/QVPG16V211SET/QVPG16V211SM/QVPG16V211SN/QVPG16V211SO/QVPG16V211ST,Single V-Lock,Four-Bolt Pillow Block,883450421102/883450421119/883450421126/883450421133/883450421140/883450421157/883450421164/883450421171/883450421188/883450421195/883450421201/883450421218,3.74 in/95 mm,7.1 in/180.3 mm,4.19 in/106.4 mm,9.25 in/235 mm,10.5 in/266.7 mm,1.97 in/50 mm,12.4 in/315 mm,3.54 in/89.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.86 in/98 mm,0.28 in/7.11 mm,3.23 in/89 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPH16V211S,22216 ,2 11/16 in,3.5 in / 88.9 mm,9 in / 228.6 mm,11 in / 279.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 11/16 in,Imperial,QVPH16V211SB/QVPH16V211SC/QVPH16V211SEB/QVPH16V211SEC/QVPH16V211SEM/QVPH16V211SEN/QVPH16V211SEO/QVPH16V211SET/QVPH16V211SM/QVPH16V211SN/QVPH16V211SO/QVPH16V211ST,Single V-Lock,Four-Bolt Pillow Block,883450564298/883450564304/883450583862/883450583879/883450583886/883450583893/883450583909/883450583916/883450583923/883450583930/883450583947/883450583954,3.5 in/88.9 mm,6.96 in/176.7 mm,4.19 in/106.4 mm,9 in/228.6 mm,11 in/279.4 mm,2.13 in/54.1 mm,13 in/300.2 mm,2.86 in/72.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.79 in/96.3 mm,0.25 in/6.35 mm,3.23 in/89 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPH17V212S,22217 ,2 3/4 in,3.75 in / 95.3 mm,9.44 in / 239.8 mm,11.31 in / 287.3 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 3/4 in,Imperial,QVPH17V212SB/QVPH17V212SC/QVPH17V212SEB/QVPH17V212SEC/QVPH17V212SEM/QVPH17V212SEN/QVPH17V212SEO/QVPH17V212SET/QVPH17V212SM/QVPH17V212SN/QVPH17V212SO/QVPH17V212ST,Single V-Lock,Four-Bolt Pillow Block,0883450148191/0883450148436/0883450153041/0883450153195/0883450175357/0883450175821/0883450185257/0883450185400/0883450278126/0883450278478/0883450283007/0883450283151,3.75 in/95.3 mm,7.2 in/182.9 mm,4.19 in/106.4 mm,9.44 in/239.8 mm,11.31 in/287.3 mm,2.13 in/54.1 mm,12.63 in/320.8 mm,3.63 in/92.2 mm,1.26 in/32 mm,0.625 in/16 mm,3.91 in/99.3 mm,0.24 in/6.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPR16V212S,22216 ,2 3/4 in,3.13 in / 79.5 mm,8 in / 203.2 mm,9.6 in / 243.8 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVPR16V212SB/QVPR16V212SC/QVPR16V212SEB/QVPR16V212SEC/QVPR16V212SEM/QVPR16V212SEN/QVPR16V212SEO/QVPR16V212SET/QVPR16V212SM/QVPR16V212SN/QVPR16V212SO/QVPR16V212ST,Single V-Lock,Four-Bolt Pillow Block,0883450059916/0883450059947/0883450114318/0883450114356/0883450175517/0883450204385/0883450204705/0883450216807/0883450217125/0883450229227/0883450229548/0883450297066,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,8 in/203.2 mm,9.6 in/243.8 mm,2.13 in/54.1 mm,10.83 in/275.1 mm,3.38 in/85.9 mm,1.16 in/29.5 mm,0.625 in/16 mm,3.78 in/96 mm,0.3 in/7.6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPK17V212S,22217 ,2 3/4 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 3/4 in,Imperial,QVPK17V212SB/QVPK17V212SC/QVPK17V212SEB/QVPK17V212SEC/QVPK17V212SEM/QVPK17V212SEN/QVPK17V212SEO/QVPK17V212SET/QVPK17V212SM/QVPK17V212SN/QVPK17V212SO/QVPK17V212ST,Single V-Lock,Four-Bolt Pillow Block,0883450149181/0883450149334/0883450153690/0883450153782/0883450176781/0883450176873/0883450185899/0883450186827/0883450279444/0883450279536/0883450283649/0883450283731,4 in/101.6 mm,7.92 in/201.2 mm,4.19 in/106.4 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.76 in/19.3 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPX16V212S,22216 ,2 3/4 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVPX16V212SB/QVPX16V212SC/QVPX16V212SEB/QVPX16V212SEC/QVPX16V212SEM/QVPX16V212SEN/QVPX16V212SEO/QVPX16V212SET/QVPX16V212SM/QVPX16V212SN/QVPX16V212SO/QVPX16V212ST,Single V-Lock,Four-Bolt Pillow Block,,3.5 in/88.9 mm,6.83 in/173.5 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,4.22 in/107.2 mm,0.22 in/5.6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPF16V212S,22216 ,2 3/4 in,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVPF16V212SB/QVPF16V212SC/QVPF16V212SEB/QVPF16V212SEC/QVPF16V212SEM/QVPF16V212SEN/QVPF16V212SEO/QVPF16V212SET/QVPF16V212SM/QVPF16V212SN/QVPF16V212SO/QVPF16V212ST,Single V-Lock,Four-Bolt Pillow Block,883450049535/883450049542/883450112031/883450112079/883450173612/883450203623/883450204002/883450216043/883450216425/883450228466/883450228848/883450296663,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.6 in/193 mm,9.1 in/231.1 mm,1.88 in/47.8 mm,10.44 in/265.2 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.625 in/16 mm,3.66 in/93 mm,0.35 in/8.9 mm,3.23 in/89 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPG16V212S,22216 ,2 3/4 in,3.74 in / 95 mm,9.25 in / 235 mm,10.5 in / 266.7 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVPG16V212SB/QVPG16V212SC/QVPG16V212SEB/QVPG16V212SEC/QVPG16V212SEM/QVPG16V212SEN/QVPG16V212SEO/QVPG16V212SET/QVPG16V212SM/QVPG16V212SN/QVPG16V212SO/QVPG16V212ST,Single V-Lock,Four-Bolt Pillow Block,883450421225/883450421232/883450421249/883450421256/883450421263/883450421270/883450421287/883450421294/883450421300/883450421317/883450421324/883450421331,3.74 in/95 mm,7.1 in/180.3 mm,4.19 in/106.4 mm,9.25 in/235 mm,10.5 in/266.7 mm,1.97 in/50 mm,12.4 in/315 mm,3.54 in/89.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.86 in/98 mm,0.28 in/7.11 mm,3.23 in/89 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPH16V212S,22216 ,2 3/4 in,3.5 in / 88.9 mm,9 in / 228.6 mm,11 in / 279.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVPH16V212SB/QVPH16V212SC/QVPH16V212SEB/QVPH16V212SEC/QVPH16V212SEM/QVPH16V212SEN/QVPH16V212SEO/QVPH16V212SET/QVPH16V212SM/QVPH16V212SN/QVPH16V212SO/QVPH16V212ST,Single V-Lock,Four-Bolt Pillow Block,883450564311/883450564328/883450583961/883450583978/883450583985/883450583992/883450584005/883450584012/883450584029/883450584036/883450584043/883450584050,3.5 in/88.9 mm,6.96 in/176.7 mm,4.19 in/106.4 mm,9 in/228.6 mm,11 in/279.4 mm,2.13 in/54.1 mm,13 in/300.2 mm,2.86 in/72.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.79 in/96.3 mm,0.25 in/6.35 mm,3.23 in/89 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPG17V215S,22217 ,2 15/16 in,3.74 in / 95 mm,9.44 in / 239.8 mm,11.31 in / 287.3 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 15/16 in,Imperial,QVPG17V215SB/QVPG17V215SC/QVPG17V215SEB/QVPG17V215SEC/QVPG17V215SEM/QVPG17V215SEN/QVPG17V215SEO/QVPG17V215SET/QVPG17V215SM/QVPG17V215SN/QVPG17V215SO/QVPG17V215ST,Single V-Lock,Four-Bolt Pillow Block,0883450050920/0883450206365/0883450206518/0883450218795/0883450218948/0883450231213/0883450231367/0883450239950/0883450240109/0883450244916/0883450245067/0883450296878,3.74 in/95 mm,7.2 in/182.9 mm,4.19 in/106.4 mm,9.44 in/239.8 mm,11.31 in/287.3 mm,2.06 in/52.3 mm,12.63 in/320.8 mm,3.63 in/92.2 mm,1.25 in/31.8 mm,0.75 in/20 mm,3.91 in/99.3 mm,0.24 in/6.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPH17V215S,22217 ,2 15/16 in,3.75 in / 95.3 mm,9.44 in / 239.8 mm,11.31 in / 287.3 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 15/16 in,Imperial,QVPH17V215SB/QVPH17V215SC/QVPH17V215SEB/QVPH17V215SEC/QVPH17V215SEM/QVPH17V215SEN/QVPH17V215SEO/QVPH17V215SET/QVPH17V215SM/QVPH17V215SN/QVPH17V215SO/QVPH17V215ST,Single V-Lock,Four-Bolt Pillow Block,0883450052993/0883450053259/0883450206662/0883450206815/0883450219099/0883450219242/0883450231510/0883450231664/0883450240253/0883450240406/0883450245210/0883450245364,3.75 in/95.3 mm,7.2 in/182.9 mm,4.19 in/106.4 mm,9.44 in/239.8 mm,11.31 in/287.3 mm,2.13 in/54.1 mm,12.63 in/320.8 mm,3.63 in/92.2 mm,1.26 in/32 mm,0.625 in/16 mm,3.91 in/99.3 mm,0.24 in/6.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPR16V215S,22216 ,2 15/16 in,3.13 in / 79.5 mm,8 in / 203.2 mm,9.6 in / 243.8 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 15/16 in,Imperial,QVPR16V215SB/QVPR16V215SC/QVPR16V215SEB/QVPR16V215SEC/QVPR16V215SEM/QVPR16V215SEN/QVPR16V215SEO/QVPR16V215SET/QVPR16V215SM/QVPR16V215SN/QVPR16V215SO/QVPR16V215ST,Single V-Lock,Four-Bolt Pillow Block,0883450060011/0883450060042/0883450114370/0883450114417/0883450175531/0883450204408/0883450204729/0883450216821/0883450217149/0883450229241/0883450229562/0883450297073,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,8 in/203.2 mm,9.6 in/243.8 mm,2.13 in/54.1 mm,10.83 in/275.1 mm,3.38 in/85.9 mm,1.16 in/29.5 mm,0.625 in/16 mm,3.78 in/96 mm,0.3 in/7.6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPK17V215S,22217 ,2 15/16 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 15/16 in,Imperial,QVPK17V215SB/QVPK17V215SC/QVPK17V215SEB/QVPK17V215SEC/QVPK17V215SEM/QVPK17V215SEN/QVPK17V215SEO/QVPK17V215SET/QVPK17V215SM/QVPK17V215SN/QVPK17V215SO/QVPK17V215ST,Single V-Lock,Four-Bolt Pillow Block,0883450054294/0883450054300/0883450207041/0883450207195/0883450219471/0883450219624/0883450231893/0883450232043/0883450240635/0883450240789/0883450245593/0883450245746,4 in/101.6 mm,7.92 in/201.2 mm,4.19 in/106.4 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.76 in/19.3 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPX16V215S,22216 ,2 15/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 15/16 in,Imperial,QVPX16V215SB/QVPX16V215SC/QVPX16V215SEB/QVPX16V215SEC/QVPX16V215SEM/QVPX16V215SEN/QVPX16V215SEO/QVPX16V215SET/QVPX16V215SM/QVPX16V215SN/QVPX16V215SO/QVPX16V215ST,Single V-Lock,Four-Bolt Pillow Block,,3.5 in/88.9 mm,6.83 in/173.5 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,4.22 in/107.2 mm,0.22 in/5.6 mm,3.29 in/83.6 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPF16V215S,22216 ,2 15/16 in,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 15/16 in,Imperial,QVPF16V215SB/QVPF16V215SC/QVPF16V215SEB/QVPF16V215SEC/QVPF16V215SEM/QVPF16V215SEN/QVPF16V215SEO/QVPF16V215SET/QVPF16V215SM/QVPF16V215SN/QVPF16V215SO/QVPF16V215ST,Single V-Lock,Four-Bolt Pillow Block,883450049559/883450049566/883450112093/883450112130/883450173636/883450203647/883450204026/883450216067/883450216449/883450228480/883450228862/883450296670,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.6 in/193 mm,9.1 in/231.1 mm,1.88 in/47.8 mm,10.44 in/265.2 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.625 in/16 mm,3.66 in/93 mm,0.35 in/8.9 mm,3.23 in/89 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVPG17V300S,22217 ,3 in,3.74 in / 95 mm,9.44 in / 239.8 mm,11.31 in / 287.3 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,QVPG17V300SB/QVPG17V300SC/QVPG17V300SEB/QVPG17V300SEC/QVPG17V300SEM/QVPG17V300SEN/QVPG17V300SEO/QVPG17V300SET/QVPG17V300SM/QVPG17V300SN/QVPG17V300SO/QVPG17V300ST,Single V-Lock,Four-Bolt Pillow Block,0883450050999/0883450206372/0883450206525/0883450218801/0883450218955/0883450231220/0883450231374/0883450239967/0883450240116/0883450244923/0883450245074/0883450296885,3.74 in/95 mm,7.2 in/182.9 mm,4.19 in/106.4 mm,9.44 in/239.8 mm,11.31 in/287.3 mm,2.06 in/52.3 mm,12.63 in/320.8 mm,3.63 in/92.2 mm,1.25 in/31.8 mm,0.75 in/20 mm,3.91 in/99.3 mm,0.24 in/6.1 mm,3.33 in/84.6 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
