,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PDF_Page
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,L,Rv<s>(1)</s>,Rvv,Sv<s>(1)</s>,Svv,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,94
7,QVVTU16V212S,2 3/4in. ,22216,76.2 / 3.00,25.4 / 1.00,171.5 / 6.75,150.9 / 5.94,39.6 / 1.56,39.6 / 1.56,108.0 / 4.25,219.7 / 8.65,90.2 / 3.55,120.7 / 4.75,46.0 / 1.81,2.3 / 0.09,16.3 / 0.64,87.6 / 3.45,106.2 / 4.18,15.9 / 35,22216,22216,22216,22216,22216,22216,138
8,QVVTU16V070S,70mm ,22216,76.2 / 3.00,25.4 / 1.00,171.5 / 6.75,150.9 / 5.94,39.6 / 1.56,39.6 / 1.56,108.0 / 4.25,219.7 / 8.65,90.2 / 3.55,120.7 / 4.75,46.0 / 1.81,2.3 / 0.09,16.3 / 0.64,87.6 / 3.45,106.2 / 4.18,15.9 / 35,22216,22216,22216,22216,22216,22216,138
9,QVVTU16V215S,2 15/16in. ,22216,76.2 / 3.00,25.4 / 1.00,171.5 / 6.75,150.9 / 5.94,39.6 / 1.56,39.6 / 1.56,108.0 / 4.25,219.7 / 8.65,90.2 / 3.55,120.7 / 4.75,46.0 / 1.81,2.3 / 0.09,16.3 / 0.64,87.6 / 3.45,106.2 / 4.18,15.9 / 35,22216,22216,22216,22216,22216,22216,138
10,QVVTU16V300S,3in. ,22216,76.2 / 3.00,25.4 / 1.00,171.5 / 6.75,150.9 / 5.94,39.6 / 1.56,39.6 / 1.56,108.0 / 4.25,219.7 / 8.65,90.2 / 3.55,120.7 / 4.75,46.0 / 1.81,2.3 / 0.09,16.3 / 0.64,87.6 / 3.45,106.2 / 4.18,15.9 / 35,22216,22216,22216,22216,22216,22216,138
11,QVVTU16V075S,75mm ,22216,76.2 / 3.00,25.4 / 1.00,171.5 / 6.75,150.9 / 5.94,39.6 / 1.56,39.6 / 1.56,108.0 / 4.25,219.7 / 8.65,90.2 / 3.55,120.7 / 4.75,46.0 / 1.81,2.3 / 0.09,16.3 / 0.64,87.6 / 3.45,106.2 / 4.18,15.9 / 35,22216,22216,22216,22216,22216,22216,138
12,QVVTU19V303S,3 3/16in. ,22219,92.2 / 3.63,25.4 / 1.00,193.8 / 7.63,173.0 / 6.81,46.0 / 1.81,49.3 / 1.94,124.0 / 4.88,257.0 / 10.12,99.6 / 3.92,158.8 / 6.25,46.0 / 1.81,0.5 / 0.02,18.0 / 0.71,99.1 / 3.90,117.6 / 4.63,20.0 / 44,22219,22219,22219,22219,22219,22219,138
13,QVVTU19V304S,3 1/4in. ,22219,92.2 / 3.63,25.4 / 1.00,193.8 / 7.63,173.0 / 6.81,46.0 / 1.81,49.3 / 1.94,124.0 / 4.88,257.0 / 10.12,99.6 / 3.92,158.8 / 6.25,46.0 / 1.81,0.5 / 0.02,18.0 / 0.71,99.1 / 3.90,117.6 / 4.63,20.0 / 44,22219,22219,22219,22219,22219,22219,138
14,QVVTU19V080S,80mm ,22219,92.2 / 3.63,25.4 / 1.00,193.8 / 7.63,173.0 / 6.81,46.0 / 1.81,49.3 / 1.94,124.0 / 4.88,257.0 / 10.12,99.6 / 3.92,158.8 / 6.25,46.0 / 1.81,0.5 / 0.02,18.0 / 0.71,99.1 / 3.90,117.6 / 4.63,20.0 / 44,22219,22219,22219,22219,22219,22219,138
15,QVVTU19V085S,85mm ,22219,92.2 / 3.63,25.4 / 1.00,193.8 / 7.63,173.0 / 6.81,46.0 / 1.81,49.3 / 1.94,124.0 / 4.88,257.0 / 10.12,99.6 / 3.92,158.8 / 6.25,46.0 / 1.81,0.5 / 0.02,18.0 / 0.71,99.1 / 3.90,117.6 / 4.63,20.0 / 44,22219,22219,22219,22219,22219,22219,138
16,QVVTU19V307S,3 7/16in. ,22219,92.2 / 3.63,25.4 / 1.00,193.8 / 7.63,173.0 / 6.81,46.0 / 1.81,49.3 / 1.94,124.0 / 4.88,257.0 / 10.12,99.6 / 3.92,158.8 / 6.25,46.0 / 1.81,0.5 / 0.02,18.0 / 0.71,99.1 / 3.90,117.6 / 4.63,20.0 / 44,22219,22219,22219,22219,22219,22219,138
17,QVVTU19V308S,3 1/2in. ,22219,92.2 / 3.63,25.4 / 1.00,193.8 / 7.63,173.0 / 6.81,46.0 / 1.81,49.3 / 1.94,124.0 / 4.88,257.0 / 10.12,99.6 / 3.92,158.8 / 6.25,46.0 / 1.81,0.5 / 0.02,18.0 / 0.71,99.1 / 3.90,117.6 / 4.63,20.0 / 44,22219,22219,22219,22219,22219,22219,138
18,QVVTU19V090S,90mm ,22219,92.2 / 3.63,25.4 / 1.00,193.8 / 7.63,173.0 / 6.81,46.0 / 1.81,49.3 / 1.94,124.0 / 4.88,257.0 / 10.12,99.6 / 3.92,158.8 / 6.25,46.0 / 1.81,0.5 / 0.02,18.0 / 0.71,99.1 / 3.90,117.6 / 4.63,20.0 / 44,22219,22219,22219,22219,22219,22219,138
19,QVVTU22V311S,3 11/16in. ,22222,104.9 / 4.13,28.7 / 1.13,239.8 / 9.44,219.2 / 8.63,54.1 / 2.13,50.8 / 2.00,143.0 / 5.63,296.9 / 11.69,111.3 / 4.21,177.8 / 7.00,52.3 / 2.06,1.5 / 0.32,18.8 / 0.55,110.0 / 4.13,130.3 / 4.99,26.3 / 58,22222,22222,22222,22222,22222,22222,138
20,QVVTU22V312S,3 3/4in. ,22222,104.9 / 4.13,28.7 / 1.13,239.8 / 9.44,219.2 / 8.63,54.1 / 2.13,50.8 / 2.00,143.0 / 5.63,296.9 / 11.69,111.3 / 4.21,177.8 / 7.00,52.3 / 2.06,1.5 / 0.32,18.8 / 0.55,110.0 / 4.13,130.3 / 4.99,26.3 / 58,22222,22222,22222,22222,22222,22222,138
21,QVVTU22V100S,100mm ,22222,104.9 / 4.13,28.7 / 1.13,239.8 / 9.44,219.2 / 8.63,54.1 / 2.13,50.8 / 2.00,143.0 / 5.63,296.9 / 11.69,111.3 / 4.21,177.8 / 7.00,52.3 / 2.06,1.5 / 0.32,18.8 / 0.55,110.0 / 4.13,130.3 / 4.99,26.3 / 58,22222,22222,22222,22222,22222,22222,138
22,,,22222,104.9 / 4.13,28.7 / 1.13,239.8 / 9.44,219.2 / 8.63,54.1 / 2.13,50.8 / 2.00,143.0 / 5.63,296.9 / 11.69,111.3 / 4.21,177.8 / 7.00,52.3 / 2.06,1.5 / 0.32,18.8 / 0.55,110.0 / 4.13,130.3 / 4.99,26.3 / 58,22222,22222,22222,22222,22222,22222,138
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,K<s>A</s>,L,M,R<s>A</s>,R<s>AA</s>,S<s>A</s>,S<s>AA</s>,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,141
1,,mmin.,,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmmm  in.in.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,kglbs.,,,,,,141
2,QAP08A035S,35mm ,22208,47.8 / 1.88,94.7 / 3.73,60.5 / 2.38,119.1 / 4.69,152.4 / 6.00,174.8 / 6.88,57.2 / 2.25,25.4 / 1.00,12mm   1/2in.,25.4 / 1.00,73.2 / 2.88,44.5 / 1.75,3.3 / 0.13,–,69.9 / 2.75,–,4.1 / 9,22208,22208,22208,22208,22208,141
3,QAP08A107S,1 7/16in. ,22208,47.8 / 1.88,94.7 / 3.73,60.5 / 2.38,119.1 / 4.69,152.4 / 6.00,174.8 / 6.88,57.2 / 2.25,25.4 / 1.00,12mm   1/2in.,25.4 / 1.00,73.2 / 2.88,44.5 / 1.75,3.3 / 0.13,–,69.9 / 2.75,–,4.1 / 9,22208,22208,22208,22208,22208,141
4,QAP08A108S,1 1/2in. ,22208,54.1 / 2.13,101.1 / 3.98,60.5 / 2.38,119.1 / 4.69,165.1 / 6.50,200.2 / 7.88,57.2 / 2.25,25.4 / 1.00,12mm   1/2in.,25.4 / 1.00,73.2 / 2.88,44.5 / 1.75,3.3 / 0.13,–,69.9 / 2.75,–,4.1 / 9,22208,22208,22208,22208,22208,141
5,QAP09A111S,1 11/16in. ,22209,54.1 / 2.13,104.9 / 4.13,66.8 / 2.63,144.8 / 5.70,165.1 / 6.50,200.2 / 7.88,60.2 / 2.37,31.8 / 1.25,12mm   1/2in.,25.4 / 1.00,78.0 / 3.07,47.8 / 1.88,4.8 / 0.19,–,73.2 / 2.88,–,4.5 / 10,22209,22209,22209,22209,22209,141
6,QAP09A040S,40mm ,22209,57.2 / 2.25,108.0 / 4.25,66.8 / 2.63,158.8 / 6.25,180.8 / 7.12,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm   5/8in.,25.4 / 1.00,78.7 / 3.10,47.8 / 1.88,5.6 / 0.22,–,73.2 / 2.88,–,4.5 / 10,22209,22209,22209,22209,22209,141
7,QAP09A112S,1 3/4in. ,22209,57.2 / 2.25,108.0 / 4.25,66.8 / 2.63,158.8 / 6.25,180.8 / 7.12,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm   5/8in.,25.4 / 1.00,78.7 / 3.10,47.8 / 1.88,5.6 / 0.22,–,73.2 / 2.88,–,4.5 / 10,22209,22209,22209,22209,22209,141
8,QAP09A045S,45mm ,22209,57.2 / 2.25,108.0 / 4.25,66.8 / 2.63,158.8 / 6.25,180.8 / 7.12,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm   5/8in.,25.4 / 1.00,78.7 / 3.10,47.8 / 1.88,5.6 / 0.22,–,73.2 / 2.88,–,4.5 / 10,22209,22209,22209,22209,22209,141
9,QAP10A115S / QAAP10A115S,1 15/16in. ,22210,57.2 / 2.25,122.2 / 4.81,73.2 / 2.88,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,25.4 / 1.00,79.0 / 3.11,47.5 / 1.87,6.1 / 0.24,17.0 / 0.67,72.9 / 2.87,95.3 / 3.75,5.9 / 13,22210,22210,22210,22210,22210,141
10,QAP10A200S / QAAP10A200S,2in. ,22210,57.2 / 2.25,122.2 / 4.81,73.2 / 2.88,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,25.4 / 1.00,79.0 / 3.11,47.5 / 1.87,6.1 / 0.24,17.0 / 0.67,72.9 / 2.87,95.3 / 3.75,5.9 / 13,22210,22210,22210,22210,22210,141
11,QAP10A050S / QAAP10A050S,50mm ,22210,57.2 / 2.25,122.2 / 4.81,73.2 / 2.88,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,25.4 / 1.00,79.0 / 3.11,47.5 / 1.87,6.1 / 0.24,17.0 / 0.67,72.9 / 2.87,95.3 / 3.75,5.9 / 13,22210,22210,22210,22210,22210,141
12,QAP11A203S / QAAP11A203S,2 3/16in. ,22211,63.5 / 2.50,133.4 / 5.25,82.6 / 3.25,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,28.7 / 1.13,84.3 / 3.32,50.8 / 2.00,4.8 / 0.19,17.5 / 0.69,79.5 / 3.13,101.6 / 4.00,7.7 / 17,22211,22211,22211,22211,22211,141
13,QAP11A204S / QAAP11A204S,2 1/4in. ,22211,63.5 / 2.50,133.4 / 5.25,82.6 / 3.25,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,28.7 / 1.13,84.3 / 3.32,50.8 / 2.00,4.8 / 0.19,17.5 / 0.69,79.5 / 3.13,101.6 / 4.00,7.7 / 17,22211,22211,22211,22211,22211,141
14,QAP11A055S / QAAP11A055S,55mm ,22211,63.5 / 2.50,133.4 / 5.25,82.6 / 3.25,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,28.7 / 1.13,84.3 / 3.32,50.8 / 2.00,4.8 / 0.19,17.5 / 0.69,79.5 / 3.13,101.6 / 4.00,7.7 / 17,22211,22211,22211,22211,22211,141
15,,,,,,,,,,,,mm  in.,,,,,,,,,,,,,,141
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,K<s>A</s>,L,M,R<s>A</s>,R<s>AA</s>,S<s>A</s>,S<s>AA</s>,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,142
1,,mmin.,,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmmm  in.in.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,kglbs.,,,,,,142
2,QAP15A211S / QAAP15A211S,2 11/16in. ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,142
3,QAP15A212S / QAAP15A212S,2 3/4in. ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,142
4,QAP15A070S / QAAP15A070S,70mm ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,142
5,QAP15A215S / QAAP15A215S,2 15/16in. ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,142
6,QAP15A300S / QAAP15A300S,3in. ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,142
7,QAP15A075S / QAAP15A075S,75mm ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,142
8,QAP18A303S / QAAP18A303S,3 3/16in. ,22218,95.3 / 3.75,195.3 / 7.69,130.3 / 5.13,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,36.6 / 1.44,109.2 / 4.30,65.8 / 2.59,6.9 / 0.27,22.6 / 0.89,102.4 / 4.03,131.6 / 5.18,20.4 / 45,22218,22218,22218,22218,22218,142
9,QAP18A304S / QAAP18A304S,3 1/4in. ,22218,95.3 / 3.75,195.3 / 7.69,130.3 / 5.13,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,36.6 / 1.44,109.2 / 4.30,65.8 / 2.59,6.9 / 0.27,22.6 / 0.89,102.4 / 4.03,131.6 / 5.18,20.4 / 45,22218,22218,22218,22218,22218,142
10,QAP18A080S / QAAP18A080S,80mm ,22218,95.3 / 3.75,195.3 / 7.69,130.3 / 5.13,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,36.6 / 1.44,109.2 / 4.30,65.8 / 2.59,6.9 / 0.27,22.6 / 0.89,102.4 / 4.03,131.6 / 5.18,20.4 / 45,22218,22218,22218,22218,22218,142
11,QAP18A085S / QAAP18 A085S,85mm ,22218,95.3 / 3.75,195.3 / 7.69,130.3 / 5.13,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,36.6 / 1.44,109.2 / 4.30,65.8 / 2.59,6.9 / 0.27,22.6 / 0.89,102.4 / 4.03,131.6 / 5.18,20.4 / 45,22218,22218,22218,22218,22218,142
12,QAP18A307S / QAAP18A307S,3 7/16in. ,22218,95.3 / 3.75,195.3 / 7.69,130.3 / 5.13,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,36.6 / 1.44,109.2 / 4.30,65.8 / 2.59,6.9 / 0.27,22.6 / 0.89,102.4 / 4.03,131.6 / 5.18,20.4 / 45,22218,22218,22218,22218,22218,142
13,QAP18A308S / QAAP18A308S,3 1/2in. ,22218,95.3 / 3.75,195.3 / 7.69,130.3 / 5.13,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,36.6 / 1.44,109.2 / 4.30,65.8 / 2.59,6.9 / 0.27,22.6 / 0.89,102.4 / 4.03,131.6 / 5.18,20.4 / 45,22218,22218,22218,22218,22218,142
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,K<s>A</s>,L,M,R<s>A</s>,R<s>AA</s>,S<s>A</s>,S<s>AA</s>,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,143
1,,mmin.,,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmmm  in.in.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,kglbs.,,,,,,143
2,QAP08A035SOSS,35mm ,22208,47.8 / 1.88,94.7 / 3.73,60.5 / 2.38,119.1 / 4.69,152.4 / 6.00,174.8 / 6.88,57.2 / 2.25,25.4 / 1.00,12mm   1/2in.,25.4 / 1.00,73.2 / 2.88,44.5 / 1.75,3.3 / 0.13,–,69.9 / 2.75,–,4.1 / 9,22208,22208,22208,22208,22208,143
3,QAP08A107SOSS,1 7/16in. ,22208,47.8 / 1.88,94.7 / 3.73,60.5 / 2.38,119.1 / 4.69,152.4 / 6.00,174.8 / 6.88,57.2 / 2.25,25.4 / 1.00,12mm   1/2in.,25.4 / 1.00,73.2 / 2.88,44.5 / 1.75,3.3 / 0.13,–,69.9 / 2.75,–,4.1 / 9,22208,22208,22208,22208,22208,143
4,QAP08A108SOSS,1 1/2in. ,22208,54.1 / 2.13,101.1 / 3.98,60.5 / 2.38,119.1 / 4.69,165.1 / 6.50,200.2 / 7.88,57.2 / 2.25,25.4 / 1.00,12mm   1/2in.,25.4 / 1.00,73.2 / 2.88,44.5 / 1.75,3.3 / 0.13,–,69.9 / 2.75,–,4.1 / 9,22208,22208,22208,22208,22208,143
5,QAP09A111SOSS,1 11/16in. ,22209,54.1 / 2.13,104.9 / 4.13,66.8 / 2.63,144.8 / 5.70,165.1 / 6.50,200.2 / 7.88,60.2 / 2.37,31.8 / 1.25,12mm   1/2in.,25.4 / 1.00,78.0 / 3.07,47.8 / 1.88,4.8 / 0.19,–,73.2 / 2.88,–,4.5 / 10,22209,22209,22209,22209,22209,143
6,QAP09A040SOSS,40mm ,22209,57.2 / 2.25,108.0 / 4.25,66.8 / 2.63,158.8 / 6.25,180.8 / 7.12,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm   5/8in.,25.4 / 1.00,78.7 / 3.10,47.8 / 1.88,5.6 / 0.22,–,73.2 / 2.88,–,4.5 / 10,22209,22209,22209,22209,22209,143
7,QAP09A112SOSS,1 3/4in. ,22209,57.2 / 2.25,108.0 / 4.25,66.8 / 2.63,158.8 / 6.25,180.8 / 7.12,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm   5/8in.,25.4 / 1.00,78.7 / 3.10,47.8 / 1.88,5.6 / 0.22,–,73.2 / 2.88,–,4.5 / 10,22209,22209,22209,22209,22209,143
8,QAP09A045SOSS,45mm ,22209,57.2 / 2.25,108.0 / 4.25,66.8 / 2.63,158.8 / 6.25,180.8 / 7.12,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm   5/8in.,25.4 / 1.00,78.7 / 3.10,47.8 / 1.88,5.6 / 0.22,–,73.2 / 2.88,–,4.5 / 10,22209,22209,22209,22209,22209,143
9,QAP10A115SOSS / QAAP10A115SOSS,1 15/16in. ,22210,57.2 / 2.25,122.2 / 4.81,73.2 / 2.88,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,25.4 / 1.00,79.0 / 3.11,47.5 / 1.87,6.1 / 0.24,17.0 / 0.67,72.9 / 2.87,95.3 / 3.75,5.9 / 13,22210,22210,22210,22210,22210,143
10,QAP10A200SOSS / QAAP10A200SOSS,2in. ,22210,57.2 / 2.25,122.2 / 4.81,73.2 / 2.88,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,25.4 / 1.00,79.0 / 3.11,47.5 / 1.87,6.1 / 0.24,17.0 / 0.67,72.9 / 2.87,95.3 / 3.75,5.9 / 13,22210,22210,22210,22210,22210,143
11,QAP10A050SOSS / QAAP10A050SOSS,50mm ,22210,57.2 / 2.25,122.2 / 4.81,73.2 / 2.88,152.4 / 6.00,181.1 / 7.13,225.6 / 8.88,62.0 / 2.44,31.8 / 1.25,16mm  5/8in.,25.4 / 1.00,79.0 / 3.11,47.5 / 1.87,6.1 / 0.24,17.0 / 0.67,72.9 / 2.87,95.3 / 3.75,5.9 / 13,22210,22210,22210,22210,22210,143
12,QAP11A203SOSS / QAAP11A203SOSS,2 3/16in. ,22211,63.5 / 2.50,133.4 / 5.25,82.6 / 3.25,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,28.7 / 1.13,84.3 / 3.32,50.8 / 2.00,4.8 / 0.19,17.5 / 0.69,79.5 / 3.13,101.6 / 4.00,7.7 / 17,22211,22211,22211,22211,22211,143
13,QAP11A204SOSS / QAAP11A204SOSS,2 1/4in. ,22211,63.5 / 2.50,133.4 / 5.25,82.6 / 3.25,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,28.7 / 1.13,84.3 / 3.32,50.8 / 2.00,4.8 / 0.19,17.5 / 0.69,79.5 / 3.13,101.6 / 4.00,7.7 / 17,22211,22211,22211,22211,22211,143
14,QAP11A055SOSS / QAAP11A055SOSS,55mm ,22211,63.5 / 2.50,133.4 / 5.25,82.6 / 3.25,165.1 / 6.50,200.2 / 7.88,244.6 / 9.63,66.8 / 2.63,31.8 / 1.25,16mm  5/8in.,28.7 / 1.13,84.3 / 3.32,50.8 / 2.00,4.8 / 0.19,17.5 / 0.69,79.5 / 3.13,101.6 / 4.00,7.7 / 17,22211,22211,22211,22211,22211,143
15,QAP13A060SOSS / QAAP13A060SOSS,60mm ,,,,,,,,,,mm  in.,,,,,,,,,,,,,,143
16,,,,,,,,,,,,mm  in.,,,,,,,,,,,,,,143
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,K<s>A</s>,L,M,R<s>A</s>,R<s>AA</s>,S<s>A</s>,S<s>AA</s>,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,144
1,,mmin.,,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmmm  in.in.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,kglbs.,,,,,,144
2,QAP15A211SOSS / QAAP15A211SOSS,2 11/16in. ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,144
3,QAP15A212SOSS / QAAP15A212SOSS,2 3/4in. ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,144
4,QAP15A070SOSS / QAAP15A070SOSS,70mm ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,144
5,QAP15A215SOSS / QAAP15A215SOSS,2 15/16in. ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,144
6,QAP15A300SOSS / QAAP15A300SOSS,3in. ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,144
7,QAP15A075SOSS / QAAP15A075SOSS,75mm ,22215,79.5 / 3.13,164.3 / 6.47,109.0 / 4.29,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,31.8 / 1.25,98.3 / 3.87,60.2 / 2.37,6.4 / 0.25,22.1 / 0.87,91.9 / 3.62,120.4 / 4.74,12.7 / 28,22215,22215,22215,22215,22215,144
8,QAP18A303SOSS / QAAP18A303SOSS,3 3/16in. ,22218,95.3 / 3.75,195.3 / 7.69,130.3 / 5.13,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,36.6 / 1.44,109.2 / 4.30,65.8 / 2.59,6.9 / 0.27,22.6 / 0.89,102.4 / 4.03,131.6 / 5.18,20.4 / 45,22218,22218,22218,22218,22218,144
