,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,PDF_Page
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,L,Rv<s>(1)</s>,Rvv,Sv<s>(1)</s>,Svv,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,94
16,QVP16V300S  / QVVP16V300S,3in. ,22216,79.5 / 3.13,164.3 / 6.47,106.4 / 4.19,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,94
17,QVP16V075S  / QVVP16V075S,75mm ,22216,79.5 / 3.13,164.3 / 6.47,106.4 / 4.19,200.2 / 7.88,244.6 / 9.63,295.4 / 11.63,76.2 / 3.00,35.1 / 1.38,20mm  3/4in.,91.2 / 3.59,7.6 / 0.30,15.0 / 0.59,83.6 / 3.29,106.2 / 4.18,12.7 / 28,22216,22216,22216,22216,22216,22216,22216,94
0,BearingPart No.<s>(1)(2)</s>,Shaft Dia.,Bearing No.,A,B,C,D min.,D max.,F,G,H,J,L,Rv<s>(1)</s>,Rvv,Sv<s>(1)</s>,Svv,Wt.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,Bearing No.,95
1,,mmin.,,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmin.,mmmm  in.in.,mmin.,mmin.,mmin.,mmin.,mmin.,kglbs.,,,,,,,,95
2,QVP19V303S  / QVVP19V303S,3 3/16in. ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,95
3,QVP19V304S  / QVVP19V304S,3 1/4in. ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,95
4,QVP19V080S  / QVVP19V080S,80mm ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,95
5,QVP19V085S  / QVVP19V085S,85mm ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,95
6,QVP19V307S  / QVVP19V307S,3 7/16in. ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,95
7,QVP19V308S  / QVVP19V308S,3 1/2in. ,22219,95.3 / 3.75,195.3 / 7.69,124.5 / 4.90,238.3 / 9.38,285.8 / 11.25,342.9 / 13.50,86.6 / 3.41,47.8 / 1.88,24mm  7/8in.,102.1 / 4.02,8.4 / 0.33,15.5 / 0.61,93.7 / 3.69,117.6 / 4.63,20.4 / 45,22219,22219,22219,22219,22219,22219,22219,95
