Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Ca - Axial Load Rating,Maximum Speed,CAD,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing - Housing - Seal,Bearing UPC,Dimension H,Dimension H1,Dimension H2,Dimension J,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Ca - Axial Load Rating,Bearing - Housing - Seal UPC,Dimension K
LSE103BXHSFS,1 3/16 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 3/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE103BX,LSE103HX,S01,LSE103BXH,013992057839,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE103BRHSFS,1 3/16 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 3/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE103BR,LSE103HR,S01,LSE103BRH,013992057785,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,,
LSE104BXHS,1 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 1/4 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BX,LSE104HX,S01,LSE104BXH,013992025333,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE104BRHS,1 1/4 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 1/4 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BR,LSE104HR,S01,LSE104BRH,013992025326,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,,
LSE104BXHSKPS,1 1/4 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 1/4 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BX,LSE104HX,S01,LSE104BXHKPS,013992025333,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992087775,
LSE104BRHSKPS,1 1/4 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 1/4 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BR,LSE104HR,S01,LSE104BRHKPS,013992025326,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,013992087324,
LSE104BXHSRSS,1 1/4 in,Viton Single Lip ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 1/4 in,Viton Single Lip,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BX,LSE104HX,S01,LSE104BXHRSS,013992025333,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992087829,
LSE104BRHSRSS,1 1/4 in,Viton Single Lip ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 1/4 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BR,LSE104HR,S01,LSE104BRHRSS,013992025326,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,013992087379,
LSE104BXHSHTPS,1 1/4 in,High Temperature Packing ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 1/4 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BX,LSE104HX,S01,LSE104BXHHTPS,013992025333,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992087720,
LSE104BRHSHTPS,1 1/4 in,High Temperature Packing ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 1/4 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BR,LSE104HR,S01,LSE104BRHHTPS,013992025326,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,013992087270,
LSE104BXHSATL,1 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BX,LS1HXTL,S01,,,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.4 in/86 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE104BRHSATL,1 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BR,LS1HRTL,S01,,,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.4 in/86 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,,
LSE104BXHSFS,1 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 1/4 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BX,LSE104HX,S01,LSE104BXH,013992025333,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE104BRHSFS,1 1/4 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 1/4 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE104BR,LSE104HR,S01,LSE104BRH,013992025326,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,,
LSM35BXHS,35 mm,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,35 mm,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSM35BX,LSM35HX,S01,LSM35BXH,013992029638,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE107BRHS,1 7/16 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 7/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BR,LSE107HR,S01,LSE107BRH,013992025364,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,,
LSE107BXHSKPS,1 7/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 7/16 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BX,LSE107HX,S01,LSE107BXHKPS,013992025371,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992088673,
LSE107BRHSKPS,1 7/16 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 7/16 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BR,LSE107HR,S01,LSE107BRHKPS,013992025364,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,013992088222,
LSE107BXHSRSS,1 7/16 in,Viton Single Lip ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 7/16 in,Viton Single Lip,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BX,LSE107HX,S01,LSE107BXHRSS,013992025371,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992088727,
LSE107BRHSRSS,1 7/16 in,Viton Single Lip ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 7/16 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BR,LSE107HR,S01,LSE107BRHRSS,013992025364,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,013992088277,
LSE107BXHSHTPS,1 7/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 7/16 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BX,LSE107HX,S01,LSE107BXHHTPS,013992025371,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,013992088628,
LSE107BRHSHTPS,1 7/16 in,High Temperature Packing ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 7/16 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BR,LSE107HR,S01,LSE107BRHHTPS,013992025364,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,013992088178,
LSE107BXHSATL,1 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BX,LS1HXTL,S01,,,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.4 in/86 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE107BRHSATL,1 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BR,LS1HRTL,S01,,,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.4 in/86 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,,
LSE107BXHSFS,1 7/16 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 7/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BX,LSE107HX,S01,LSE107BXH,013992025371,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
LSE107BRHSFS,1 7/16 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,1 7/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE107BR,LSE107HR,S01,LSE107BRH,013992025364,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",719.38 lbf/3200 N,,
LSE108BXHS,1 1/2 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,1 1/2 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - Standard,2 x M12,LSE108BX,LSE108HX,S01,LSE108BXH,013992025418,2.362 in/60 mm,0.9 in/22 mm,5.4 in/138 mm,7.1 in/180 mm,9 in/228 mm,2.4 in/60 mm,3.3 in/84 mm,14613 lbf/65000 N,15287 lbf/68000 N,5400 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",,,
