Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,CAD,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing UPC,Dimension H,Dimension H2,Dimension J1,Dimension J2,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Dimension K
LSE204BXHSAFQAATL,2 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE204BX,LS3HXTL,SAFQ03A-2B,013992025845,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE204BXHSAFQA-4BATL,2 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE204BX,LS3HXTL,SAFQ03A-4B,013992025845,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE204BRHSAFQATL,2 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE204BR,LS3HRTL,SAFQ03-2B,013992025838,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE204BRHSAFQAATL,2 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE204BR,LS3HRTL,SAFQ03A-2B,013992025838,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE204BRHSAFQA-4BATL,2 1/4 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE204BR,LS3HRTL,SAFQ03A-4B,013992025838,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE204BXHSAFQFS,2 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE204BX,LSE204HX,SAFQ03-2B,013992025845,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE204BXHSAFQAFS,2 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE204BX,LSE204HX,SAFQ03A-2B,013992025845,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE204BXHSAFQA-4BFS,2 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Expansion Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE204BX,LSE204HX,SAFQ03A-4B,013992025845,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE204BRHSAFQFS,2 1/4 in,Felt Type ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE204BR,LSE204HR,SAFQ03-2B,013992025838,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE204BRHSAFQAFS,2 1/4 in,Felt Type ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE204BR,LSE204HR,SAFQ03A-2B,013992025838,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE204BRHSAFQA-4BFS,2 1/4 in,Felt Type ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 1/4 in,Felt Type,Split Cylindrical Retained Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE204BR,LSE204HR,SAFQ03A-4B,013992025838,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BXHSAFQ,2 7/16 in,Felt Type ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LSE207HX,SAFQ03-2B,013992025890,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQA,2 7/16 in,Felt Type ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Felt Type,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LSE207HX,SAFQ03A-2B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQA-4B,2 7/16 in,Felt Type ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Felt Type,Split Cylindrical Expansion Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BX,LSE207HX,SAFQ03A-4B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BRHSAFQ,2 7/16 in,Felt Type ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LSE207HR,SAFQ03-2B,013992025883,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQA,2 7/16 in,Felt Type ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Felt Type,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LSE207HR,SAFQ03A-2B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQA-4B,2 7/16 in,Felt Type ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Felt Type,Split Cylindrical Retained Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BR,LSE207HR,SAFQ03A-4B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BXHSAFQKPS,2 7/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LSE207HX,SAFQ03-2B,013992025890,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQAKPS,2 7/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LSE207HX,SAFQ03A-2B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQA-4BKPS,2 7/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Kevlar Packing Seal,Split Cylindrical Expansion Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BX,LSE207HX,SAFQ03A-4B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BRHSAFQKPS,2 7/16 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LSE207HR,SAFQ03-2B,013992025883,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQAKPS,2 7/16 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LSE207HR,SAFQ03A-2B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQA-4BKPS,2 7/16 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Kevlar Packing Seal,Split Cylindrical Retained Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BR,LSE207HR,SAFQ03A-4B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BXHSAFQRSS,2 7/16 in,Viton Single Lip ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Viton Single Lip,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LSE207HX,SAFQ03-2B,013992025890,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQARSS,2 7/16 in,Viton Single Lip ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Viton Single Lip,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LSE207HX,SAFQ03A-2B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQA-4BRSS,2 7/16 in,Viton Single Lip ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Viton Single Lip,Split Cylindrical Expansion Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BX,LSE207HX,SAFQ03A-4B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BRHSAFQRSS,2 7/16 in,Viton Single Lip ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LSE207HR,SAFQ03-2B,013992025883,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQARSS,2 7/16 in,Viton Single Lip ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Viton Single Lip,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LSE207HR,SAFQ03A-2B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQA-4BRSS,2 7/16 in,Viton Single Lip ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Viton Single Lip,Split Cylindrical Retained Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BR,LSE207HR,SAFQ03A-4B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BXHSAFQHTPS,2 7/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LSE207HX,SAFQ03-2B,013992025890,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQAHTPS,2 7/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,High Temperature Packing,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LSE207HX,SAFQ03A-2B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQA-4BHTPS,2 7/16 in,High Temperature Packing ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,High Temperature Packing,Split Cylindrical Expansion Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BX,LSE207HX,SAFQ03A-4B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BRHSAFQHTPS,2 7/16 in,High Temperature Packing ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LSE207HR,SAFQ03-2B,013992025883,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQAHTPS,2 7/16 in,High Temperature Packing ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,High Temperature Packing,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LSE207HR,SAFQ03A-2B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQA-4BHTPS,2 7/16 in,High Temperature Packing ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,High Temperature Packing,Split Cylindrical Retained Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BR,LSE207HR,SAFQ03A-4B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.0 in/102 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BXHSAFQATL,2 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LS3HXTL,SAFQ03-2B,013992025890,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQAATL,2 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BX,LS3HXTL,SAFQ03A-2B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BXHSAFQA-4BATL,2 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Expansion Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BX,LS3HXTL,SAFQ03A-4B,013992025890,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
LSE207BRHSAFQATL,2 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LS3HRTL,SAFQ03-2B,013992025883,3 in,6.95 in,9-1/2 in,8-21/32 in,11 in,3-1/4 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQAATL,2 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Two-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"2 x 5/8""",LSE207BR,LS3HRTL,SAFQ03A-2B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",
LSE207BRHSAFQA-4BATL,2 7/16 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23118 lbf / 102700 N,25848 lbf / 115000 N,3940 rpm,,2 7/16 in,Aluminium Triple Labyrinth,Split Cylindrical Retained Type,Four-Bolt Plummer Block,Light Series,Split Cylindrical Housed Unit - SAFQ,"4 x 1/2""",LSE207BR,LS3HRTL,SAFQ03A-4B,013992025883,3-1/4 in,7.2 in,9-5/8 in,8-5/8 in,11-1/8 in,3-1/8 in,4.1 in/104 mm,23118 lbf/102700 N,25848 lbf/115000 N,3940 rpm,"Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.

Please review for more options.",1-7/8 in
