Variety,NumTrees,NumBearing,YearPlanted
Honeycrisp,3,3,2016
Macoun,1,1,2016
Liberty,2,2,2017
SnappyMac,1,0,2023
Johnagold,2,0,2023
Gala,1,1,2016
Grand Gala,1,1,2016
Rome,1,1,2016
Empire,2,1,2021
Fuji,1,1,2016
