Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Ca - Axial Load Rating,Maximum Speed,CAD,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing - Housing - Seal,Bearing UPC,Dimension H,Dimension H1,Dimension H2,Dimension J,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Ca - Axial Load Rating,Bearing - Housing - Seal UPC
LSM50BXHSHTPS,50 mm,High Temperature Packing ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['50 mm'],['High Temperature Packing'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM50BX'],['LSM50HX'],['S02'],['LSM50BXHHTPS'],['013992029904'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992095398']
LSM50BRHSHTPS,50 mm,High Temperature Packing ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['50 mm'],['High Temperature Packing'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM50BR'],['LSM50HR'],['S02'],['LSM50BRHHTPS'],['013992029874'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",['013992094643']
LSM50BXHSATL,50 mm,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['50 mm'],['Aluminium Triple Labyrinth'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM50BX'],['LS2HXTL'],['S02'],,,"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.9 in', '98 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSM50BRHSATL,50 mm,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['50 mm'],['Aluminium Triple Labyrinth'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM50BR'],['LS2HRTL'],['S02'],,,"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.9 in', '98 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",
LSM50BXHSFS,50 mm,Felt Type ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['50 mm'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM50BX'],['LSM50HX'],['S02'],['LSM50BXH'],['013992029904'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSM50BRHSFS,50 mm,Felt Type ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['50 mm'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM50BR'],['LSM50HR'],['S02'],['LSM50BRH'],['013992029874'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",
LSE200BXHS,2 in,Felt Type ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['2 in'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BX'],['LSE200HX'],['S02'],['LSE200BXH'],['013992025739'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE200BRHS,2 in,Felt Type ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['2 in'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BR'],['LSE200HR'],['S02'],['LSE200BRH'],['013992025722'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",
LSE200BXHSKPS,2 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['2 in'],['Kevlar Packing Seal'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BX'],['LSE200HX'],['S02'],['LSE200BXHKPS'],['013992025739'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992098573']
LSE200BRHSKPS,2 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['2 in'],['Kevlar Packing Seal'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BR'],['LSE200HR'],['S02'],['LSE200BRHKPS'],['013992025722'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",['013992097828']
LSE200BXHSRSS,2 in,Viton Single Lip ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['2 in'],['Viton Single Lip'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BX'],['LSE200HX'],['S02'],['LSE200BXHRSS'],['013992025739'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992098627']
LSE200BRHSRSS,2 in,Viton Single Lip ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['2 in'],['Viton Single Lip'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BR'],['LSE200HR'],['S02'],['LSE200BRHRSS'],['013992025722'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",['013992097873']
LSE200BXHSHTPS,2 in,High Temperature Packing ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['2 in'],['High Temperature Packing'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BX'],['LSE200HX'],['S02'],['LSE200BXHHTPS'],['013992025739'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992098528']
LSE200BRHSHTPS,2 in,High Temperature Packing ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['2 in'],['High Temperature Packing'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BR'],['LSE200HR'],['S02'],['LSE200BRHHTPS'],['013992025722'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",['013992097774']
LSE200BXHSATL,2 in,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['2 in'],['Aluminium Triple Labyrinth'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BX'],['LS2HXTL'],['S02'],,,"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.9 in', '98 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE200BRHSATL,2 in,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['2 in'],['Aluminium Triple Labyrinth'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BR'],['LS2HRTL'],['S02'],,,"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.9 in', '98 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",
LSE200BXHSFS,2 in,Felt Type ,Split Cylindrical Expansion Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,,4630 rpm,,['2 in'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BX'],['LSE200HX'],['S02'],['LSE200BXH'],['013992025739'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE200BRHSFS,2 in,Felt Type ,Split Cylindrical Retained Type ,18659 lbf / 83000 N,19558 lbf / 87000 N,809.30 lbf / 3600 N,4630 rpm,,['2 in'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE200BR'],['LSE200HR'],['S02'],['LSE200BRH'],['013992025722'],"['2.756 in', '70 mm']","['1 in', '25 mm']","['6.2 in', '158 mm']","['8.4 in', '214 mm']","['10.6 in', '270 mm']","['2.4 in', '60 mm']","['3.8 in', '96 mm']","['18659 lbf', '83000 N']","['19558 lbf', '87000 N']",['4630 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['809.30 lbf', '3600 N']",
LSM55BXHS,55 mm,Felt Type ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,['55 mm'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BX'],['LSM55HX'],['S03'],['LSM55BXH'],['013992030054'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSM55BRHS,55 mm,Felt Type ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,['55 mm'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BR'],['LSM55HR'],['S03'],['LSM55BRH'],['013992030030'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['1213.95 lbf', '5400 N']",
LSM55BXHSKPS,55 mm,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,['55 mm'],['Kevlar Packing Seal'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BX'],['LSM55HX'],['S03'],['LSM55BXHKPS'],['013992030054'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992096043']
LSM55BRHSKPS,55 mm,Kevlar Packing Seal ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,['55 mm'],['Kevlar Packing Seal'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BR'],['LSM55HR'],['S03'],['LSM55BRHKPS'],['013992030030'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['1213.95 lbf', '5400 N']",['013992095893']
LSM55BXHSRSS,55 mm,Viton Single Lip ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,['55 mm'],['Viton Single Lip'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BX'],['LSM55HX'],['S03'],['LSM55BXHRSS'],['013992030054'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992096098']
LSM55BRHSRSS,55 mm,Viton Single Lip ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,['55 mm'],['Viton Single Lip'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BR'],['LSM55HR'],['S03'],['LSM55BRHRSS'],['013992030030'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['1213.95 lbf', '5400 N']",['013992095947']
LSM55BXHSHTPS,55 mm,High Temperature Packing ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,['55 mm'],['High Temperature Packing'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BX'],['LSM55HX'],['S03'],['LSM55BXHHTPS'],['013992030054'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992095992']
LSM55BRHSHTPS,55 mm,High Temperature Packing ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,['55 mm'],['High Temperature Packing'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BR'],['LSM55HR'],['S03'],['LSM55BRHHTPS'],['013992030030'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['1213.95 lbf', '5400 N']",['013992095848']
LSM55BXHSATL,55 mm,Aluminium Triple Labyrinth ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,['55 mm'],['Aluminium Triple Labyrinth'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BX'],['LS3HXTL'],['S03'],,,"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.1 in', '104 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSM55BRHSATL,55 mm,Aluminium Triple Labyrinth ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,['55 mm'],['Aluminium Triple Labyrinth'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BR'],['LS3HRTL'],['S03'],,,"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.1 in', '104 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['1213.95 lbf', '5400 N']",
LSM55BXHSFS,55 mm,Felt Type ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,['55 mm'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BX'],['LSM55HX'],['S03'],['LSM55BXH'],['013992030054'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSM55BRHSFS,55 mm,Felt Type ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,['55 mm'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSM55BR'],['LSM55HR'],['S03'],['LSM55BRH'],['013992030030'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['1213.95 lbf', '5400 N']",
LSE203BXHS,2 3/16 in,Felt Type ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,['2 3/16 in'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE203BX'],['LSE203HX'],['S03'],['LSE203BXH'],['013992025784'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE203BRHS,2 3/16 in,Felt Type ,Split Cylindrical Retained Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,1213.95 lbf / 5400 N,3940 rpm,,['2 3/16 in'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE203BR'],['LSE203HR'],['S03'],['LSE203BRH'],['013992025777'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['1213.95 lbf', '5400 N']",
LSE203BXHSKPS,2 3/16 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,23155 lbf / 103000 N,25853 lbf / 115000 N,,3940 rpm,,['2 3/16 in'],['Kevlar Packing Seal'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M16'],['LSE203BX'],['LSE203HX'],['S03'],['LSE203BXHKPS'],['013992025784'],"['3.15 in', '80 mm']","['1.3 in', '32 mm']","['7.1 in', '180 mm']","['9.2 in', '234 mm']","['11 in', '280 mm']","['2.8 in', '70 mm']","['4.0 in', '102 mm']","['23155 lbf', '103000 N']","['25853 lbf', '115000 N']",['3940 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992100375']
