Part Number,Shaft Size,Seal Type,Bearing Type,Cr - Dynamic Load Rating,Cor - Static Load Rating,Ca - Axial Load Rating,Maximum Speed,CAD,Shaft Size,Seal Type,Bearing Type,Support Type,Series Type,Pillow/Plummer Block Style,Bolt Size,Bearing Number,Housing,Support Reference,Bearing - Housing - Seal,Bearing UPC,Dimension H,Dimension H1,Dimension H2,Dimension J,Dimension L,Dimension M,Housing Width,Cr - Dynamic Load Rating,Cor - Static Load Rating,Maximum Speed,Note,Ca - Axial Load Rating,Bearing - Housing - Seal UPC
LSE103BXHSFS,1 3/16 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 3/16 in'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BX'],['LSE103HX'],['S01'],['LSE103BXH'],['013992057839'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE103BRHSFS,1 3/16 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 3/16 in'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE103BR'],['LSE103HR'],['S01'],['LSE103BRH'],['013992057785'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",
LSE104BXHS,1 1/4 in,Felt Type ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 1/4 in'],['Felt Type'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BX'],['LSE104HX'],['S01'],['LSE104BXH'],['013992025333'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,
LSE104BRHS,1 1/4 in,Felt Type ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 1/4 in'],['Felt Type'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BR'],['LSE104HR'],['S01'],['LSE104BRH'],['013992025326'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",
LSE104BXHSKPS,1 1/4 in,Kevlar Packing Seal ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 1/4 in'],['Kevlar Packing Seal'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BX'],['LSE104HX'],['S01'],['LSE104BXHKPS'],['013992025333'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992087775']
LSE104BRHSKPS,1 1/4 in,Kevlar Packing Seal ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 1/4 in'],['Kevlar Packing Seal'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BR'],['LSE104HR'],['S01'],['LSE104BRHKPS'],['013992025326'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",['013992087324']
LSE104BXHSRSS,1 1/4 in,Viton Single Lip ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 1/4 in'],['Viton Single Lip'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BX'],['LSE104HX'],['S01'],['LSE104BXHRSS'],['013992025333'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992087829']
LSE104BRHSRSS,1 1/4 in,Viton Single Lip ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 1/4 in'],['Viton Single Lip'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BR'],['LSE104HR'],['S01'],['LSE104BRHRSS'],['013992025326'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",['013992087379']
LSE104BXHSHTPS,1 1/4 in,High Temperature Packing ,Split Cylindrical Expansion Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,,5400 rpm,,['1 1/4 in'],['High Temperature Packing'],['Split Cylindrical Expansion Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BX'],['LSE104HX'],['S01'],['LSE104BXHHTPS'],['013992025333'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']",,['013992087720']
LSE104BRHSHTPS,1 1/4 in,High Temperature Packing ,Split Cylindrical Retained Type ,14613 lbf / 65000 N,15287 lbf / 68000 N,719.38 lbf / 3200 N,5400 rpm,,['1 1/4 in'],['High Temperature Packing'],['Split Cylindrical Retained Type'],['Two-Bolt Plummer Block'],['Light Series'],['Split Cylindrical Housed Unit - Standard'],['2 x M12'],['LSE104BR'],['LSE104HR'],['S01'],['LSE104BRHHTPS'],['013992025326'],"['2.362 in', '60 mm']","['0.9 in', '22 mm']","['5.4 in', '138 mm']","['7.1 in', '180 mm']","['9 in', '228 mm']","['2.4 in', '60 mm']","['3.3 in', '84 mm']","['14613 lbf', '65000 N']","['15287 lbf', '68000 N']",['5400 rpm'],"['Timken offers a wide range of sealing options including:  KPS, RSS, ATL and HTPS seals.\n\nPlease review for more options.']","['719.38 lbf', '3200 N']",['013992087270']
