Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension RAA,Dimension SAA,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QAAPR13A065S,22213 ,65 mm,2.75 in / 69.9 mm,7.13 in / 181.1 mm,8.75 in / 222.3 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['65 mm'],['Metric'],"['QAAPR13A065SB', 'QAAPR13A065SC', 'QAAPR13A065SEB', 'QAAPR13A065SEC', 'QAAPR13A065SEM', 'QAAPR13A065SEN', 'QAAPR13A065SEO', 'QAAPR13A065SET', 'QAAPR13A065SM', 'QAAPR13A065SN', 'QAAPR13A065SO', 'QAAPR13A065ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450029704', '0883450029711', '0883450029735', '0883450029742', '0883450029759', '0883450029766', '0883450029773', '0883450029780', '0883450189989', '0883450190091', '0883450267342', '0883450267458']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['7.13 in', '181.1 mm']","['8.75 in', '222.3 mm']","['1.88 in', '47.8 mm']","['10.25 in', '260.4 mm']","['3.25 in', '82.6 mm']","['0.98 in', '24.9 mm']","['0.625 in', '16 mm']","['3.77 in', '95.8 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPX13A065S,22213 ,65 mm,3 in / 76.2 mm,6.94 in / 176.3 mm,9.56 in / 242.8 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['65 mm'],['Metric'],"['QAAPX13A065SB', 'QAAPX13A065SC', 'QAAPX13A065SEB', 'QAAPX13A065SEC', 'QAAPX13A065SEM', 'QAAPX13A065SEN', 'QAAPX13A065SEO', 'QAAPX13A065SET', 'QAAPX13A065SM', 'QAAPX13A065SN', 'QAAPX13A065SO', 'QAAPX13A065ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450005449', '0883450005517', '0883450005548', '0883450005616', '0883450005647', '0883450005715', '0883450005746', '0883450005814', '0883450005845', '0883450005913', '0883450267564', '0883450267786']","['3 in', '76.2 mm']","['6.05 in', '153.7 mm']","['3.81 in', '96.8 mm']","['6.94 in', '176.3 mm']","['9.56 in', '242.8 mm']","['2.63 in', '66.8 mm']","['11.25 in', '285.8 mm']","['3.88 in', '98.6 mm']","['1.22 in', '31 mm']","['0.625 in', '16 mm']","['4.09 in', '103.9 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPF15A211S,22215 ,2 11/16 in,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 11/16 in'],['Imperial'],"['QAAPF15A211SB', 'QAAPF15A211SC', 'QAAPF15A211SEB', 'QAAPF15A211SEC', 'QAAPF15A211SEM', 'QAAPF15A211SEN', 'QAAPF15A211SEO', 'QAAPF15A211SET', 'QAAPF15A211SM', 'QAAPF15A211SN', 'QAAPF15A211SO', 'QAAPF15A211ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450009751', '0883450009768', '0883450009775', '0883450009782', '0883450009799', '0883450009805', '0883450009829', '0883450009836', '0883450009850', '0883450009867', '0883450009874', '0883450009881']","['3.25 in', '82.6 mm']","['6.6 in', '167.6 mm']","['4.29 in', '109 mm']","['7.6 in', '193 mm']","['9.1 in', '231.1 mm']","['1.88 in', '47.8 mm']","['10.44 in', '265.2 mm']","['3.13 in', '79.5 mm']","['1.29 in', '32.8 mm']","['0.625 in', '16 mm']","['3.94 in', '100.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPR15A211S,22215 ,2 11/16 in,3.13 in / 79.5 mm,8 in / 203.2 mm,9.6 in / 243.8 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 11/16 in'],['Imperial'],"['QAAPR15A211SB', 'QAAPR15A211SC', 'QAAPR15A211SEB', 'QAAPR15A211SEC', 'QAAPR15A211SEM', 'QAAPR15A211SEN', 'QAAPR15A211SEO', 'QAAPR15A211SET', 'QAAPR15A211SM', 'QAAPR15A211SN', 'QAAPR15A211SO', 'QAAPR15A211ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450009898', '0883450009904', '0883450009928', '0883450009935', '0883450009959', '0883450009966', '0883450009973', '0883450009980', '0883450009997', '0883450010009', '0883450010023', '0883450010030']","['3.13 in', '79.5 mm']","['6.47 in', '164.3 mm']","['4.29 in', '109 mm']","['8 in', '203.2 mm']","['9.6 in', '243.8 mm']","['2.13 in', '54.1 mm']","['10.83 in', '275.1 mm']","['3.38 in', '85.9 mm']","['1.16 in', '29.5 mm']","['0.625 in', '16 mm']","['4.02 in', '102.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPX15A211S,22215 ,2 11/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 11/16 in'],['Imperial'],"['QAAPX15A211SB', 'QAAPX15A211SC', 'QAAPX15A211SEB', 'QAAPX15A211SEC', 'QAAPX15A211SEM', 'QAAPX15A211SEN', 'QAAPX15A211SEO', 'QAAPX15A211SET', 'QAAPX15A211SM', 'QAAPX15A211SN', 'QAAPX15A211SO', 'QAAPX15A211ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450008242', '0883450008310', '0883450008341', '0883450008419', '0883450008440', '0883450008518', '0883450008549', '0883450008617', '0883450008648', '0883450008716', '0883450267571', '0883450267793']","['3.5 in', '88.9 mm']","['6.83 in', '173.5 mm']","['4.29 in', '109 mm']","['9.06 in', '230.1 mm']","['10.44 in', '265.2 mm']","['2.75 in', '69.9 mm']","['13 in', '330.2 mm']","['4.25 in', '108 mm']","['1.54 in', '39.1 mm']","['0.75 in', '20 mm']","['4.5 in', '114.3 mm']","['2.37 in', '60.2 mm']","['0.84 in', '21.3 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPF15A212S,22215 ,2 3/4 in,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 3/4 in'],['Imperial'],"['QAAPF15A212SB', 'QAAPF15A212SC', 'QAAPF15A212SEB', 'QAAPF15A212SEC', 'QAAPF15A212SEM', 'QAAPF15A212SEN', 'QAAPF15A212SEO', 'QAAPF15A212SET', 'QAAPF15A212SM', 'QAAPF15A212SN', 'QAAPF15A212SO', 'QAAPF15A212ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450319973', '0883450319980', '0883450319997', '0883450320009', '0883450320016', '0883450320023', '0883450320030', '0883450320047', '0883450320054', '0883450320061', '0883450320078', '0883450320085']","['3.25 in', '82.6 mm']","['6.6 in', '167.6 mm']","['4.29 in', '109 mm']","['7.6 in', '193 mm']","['9.1 in', '231.1 mm']","['1.88 in', '47.8 mm']","['10.44 in', '265.2 mm']","['3.13 in', '79.5 mm']","['1.29 in', '32.8 mm']","['0.625 in', '16 mm']","['3.94 in', '100.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPR15A212S,22215 ,2 3/4 in,3.13 in / 79.5 mm,8 in / 203.2 mm,9.6 in / 243.8 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 3/4 in'],['Imperial'],"['QAAPR15A212SB', 'QAAPR15A212SC', 'QAAPR15A212SEB', 'QAAPR15A212SEC', 'QAAPR15A212SEM', 'QAAPR15A212SEN', 'QAAPR15A212SEO', 'QAAPR15A212SET', 'QAAPR15A212SM', 'QAAPR15A212SN', 'QAAPR15A212SO', 'QAAPR15A212ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450321778', '0883450321785', '0883450321792', '0883450321808', '0883450321815', '0883450321822', '0883450321839', '0883450321846', '0883450321853', '0883450321860', '0883450321877', '0883450321884']","['3.13 in', '79.5 mm']","['6.47 in', '164.3 mm']","['4.29 in', '109 mm']","['8 in', '203.2 mm']","['9.6 in', '243.8 mm']","['2.13 in', '54.1 mm']","['10.83 in', '275.1 mm']","['3.38 in', '85.9 mm']","['1.16 in', '29.5 mm']","['0.625 in', '16 mm']","['4.02 in', '102.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPX15A212S,22215 ,2 3/4 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 3/4 in'],['Imperial'],"['QAAPX15A212SB', 'QAAPX15A212SC', 'QAAPX15A212SEB', 'QAAPX15A212SEC', 'QAAPX15A212SEM', 'QAAPX15A212SEN', 'QAAPX15A212SEO', 'QAAPX15A212SET', 'QAAPX15A212SM', 'QAAPX15A212SN', 'QAAPX15A212SO', 'QAAPX15A212ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450008747', '0883450008815', '0883450008846', '0883450008914', '0883450008945', '0883450009010', '0883450009041', '0883450009119', '0883450009140', '0883450009218', '0883450267588', '0883450267809']","['3.5 in', '88.9 mm']","['6.83 in', '173.5 mm']","['4.29 in', '109 mm']","['9.06 in', '230.1 mm']","['10.44 in', '265.2 mm']","['2.75 in', '69.9 mm']","['13 in', '330.2 mm']","['4.25 in', '108 mm']","['1.54 in', '39.1 mm']","['0.75 in', '20 mm']","['4.5 in', '114.3 mm']","['2.37 in', '60.2 mm']","['0.84 in', '21.3 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPF15A070S,22215 ,70 mm,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['70 mm'],['Metric'],"['QAAPF15A070SB', 'QAAPF15A070SC', 'QAAPF15A070SEB', 'QAAPF15A070SEC', 'QAAPF15A070SEM', 'QAAPF15A070SEN', 'QAAPF15A070SEO', 'QAAPF15A070SET', 'QAAPF15A070SM', 'QAAPF15A070SN', 'QAAPF15A070SO', 'QAAPF15A070ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450319850', '0883450319867', '0883450319874', '0883450319881', '0883450319898', '0883450319904', '0883450319911', '0883450319928', '0883450319935', '0883450319942', '0883450319959', '0883450319966']","['3.25 in', '82.6 mm']","['6.6 in', '167.6 mm']","['4.29 in', '109 mm']","['7.6 in', '193 mm']","['9.1 in', '231.1 mm']","['1.88 in', '47.8 mm']","['10.44 in', '265.2 mm']","['3.13 in', '79.5 mm']","['1.29 in', '32.8 mm']","['0.625 in', '16 mm']","['3.94 in', '100.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPR15A070S,22215 ,70 mm,3.13 in / 79.5 mm,8 in / 203.2 mm,9.6 in / 243.8 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['70 mm'],['Metric'],"['QAAPR15A070SB', 'QAAPR15A070SC', 'QAAPR15A070SEB', 'QAAPR15A070SEC', 'QAAPR15A070SEM', 'QAAPR15A070SEN', 'QAAPR15A070SEO', 'QAAPR15A070SET', 'QAAPR15A070SM', 'QAAPR15A070SN', 'QAAPR15A070SO', 'QAAPR15A070ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450321655', '0883450321662', '0883450321679', '0883450321686', '0883450321693', '0883450321709', '0883450321716', '0883450321723', '0883450321730', '0883450321747', '0883450321754', '0883450321761']","['3.13 in', '79.5 mm']","['6.47 in', '164.3 mm']","['4.29 in', '109 mm']","['8 in', '203.2 mm']","['9.6 in', '243.8 mm']","['2.13 in', '54.1 mm']","['10.83 in', '275.1 mm']","['3.38 in', '85.9 mm']","['1.16 in', '29.5 mm']","['0.625 in', '16 mm']","['4.02 in', '102.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPX15A070S,22215 ,70 mm,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['70 mm'],['Metric'],"['QAAPX15A070SB', 'QAAPX15A070SC', 'QAAPX15A070SEB', 'QAAPX15A070SEC', 'QAAPX15A070SEM', 'QAAPX15A070SEN', 'QAAPX15A070SEO', 'QAAPX15A070SET', 'QAAPX15A070SM', 'QAAPX15A070SN', 'QAAPX15A070SO', 'QAAPX15A070ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450007245', '0883450007313', '0883450007344', '0883450007412', '0883450007443', '0883450007511', '0883450007542', '0883450007610', '0883450007641', '0883450007719', '0883450267595', '0883450267816']","['3.5 in', '88.9 mm']","['6.83 in', '173.5 mm']","['4.29 in', '109 mm']","['9.06 in', '230.1 mm']","['10.44 in', '265.2 mm']","['2.75 in', '69.9 mm']","['13 in', '330.2 mm']","['4.25 in', '108 mm']","['1.54 in', '39.1 mm']","['0.75 in', '20 mm']","['4.5 in', '114.3 mm']","['2.37 in', '60.2 mm']","['0.84 in', '21.3 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPF15A215S,22215 ,2 15/16 in,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 15/16 in'],['Imperial'],"['QAAPF15A215SB', 'QAAPF15A215SC', 'QAAPF15A215SEB', 'QAAPF15A215SEC', 'QAAPF15A215SEM', 'QAAPF15A215SEN', 'QAAPF15A215SEO', 'QAAPF15A215SET', 'QAAPF15A215SM', 'QAAPF15A215SN', 'QAAPF15A215SO', 'QAAPF15A215ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450027205', '0883450027212', '0883450027236', '0883450027243', '0883450027250', '0883450027267', '0883450027274', '0883450027281', '0883450189514', '0883450189644', '0883450266857', '0883450266994']","['3.25 in', '82.6 mm']","['6.6 in', '167.6 mm']","['4.29 in', '109 mm']","['7.6 in', '193 mm']","['9.1 in', '231.1 mm']","['1.88 in', '47.8 mm']","['10.44 in', '265.2 mm']","['3.13 in', '79.5 mm']","['1.29 in', '32.8 mm']","['0.625 in', '16 mm']","['3.94 in', '100.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPR15A215S,22215 ,2 15/16 in,3.13 in / 79.5 mm,8 in / 203.2 mm,9.6 in / 243.8 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 15/16 in'],['Imperial'],"['QAAPR15A215SB', 'QAAPR15A215SC', 'QAAPR15A215SEB', 'QAAPR15A215SEC', 'QAAPR15A215SEM', 'QAAPR15A215SEN', 'QAAPR15A215SEO', 'QAAPR15A215SET', 'QAAPR15A215SM', 'QAAPR15A215SN', 'QAAPR15A215SO', 'QAAPR15A215ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450030106', '0883450030113', '0883450030137', '0883450030144', '0883450030151', '0883450030168', '0883450030175', '0883450030182', '0883450189996', '0883450190107', '0883450267359', '0883450267465']","['3.13 in', '79.5 mm']","['6.47 in', '164.3 mm']","['4.29 in', '109 mm']","['8 in', '203.2 mm']","['9.6 in', '243.8 mm']","['2.13 in', '54.1 mm']","['10.83 in', '275.1 mm']","['3.38 in', '85.9 mm']","['1.16 in', '29.5 mm']","['0.625 in', '16 mm']","['4.02 in', '102.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPX15A215S,22215 ,2 15/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 15/16 in'],['Imperial'],"['QAAPX15A215SB', 'QAAPX15A215SC', 'QAAPX15A215SEB', 'QAAPX15A215SEC', 'QAAPX15A215SEM', 'QAAPX15A215SEN', 'QAAPX15A215SEO', 'QAAPX15A215SET', 'QAAPX15A215SM', 'QAAPX15A215SN', 'QAAPX15A215SO', 'QAAPX15A215ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450009249', '0883450009317', '0883450009348', '0883450009416', '0883450009447', '0883450009515', '0883450009546', '0883450009614', '0883450009645', '0883450009713', '0883450267601', '0883450267823']","['3.5 in', '88.9 mm']","['6.83 in', '173.5 mm']","['4.29 in', '109 mm']","['9.06 in', '230.1 mm']","['10.44 in', '265.2 mm']","['2.75 in', '69.9 mm']","['13 in', '330.2 mm']","['4.25 in', '108 mm']","['1.54 in', '39.1 mm']","['0.75 in', '20 mm']","['4.5 in', '114.3 mm']","['2.37 in', '60.2 mm']","['0.84 in', '21.3 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPF15A075S,22215 ,75 mm,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['75 mm'],['Metric'],"['QAAPF15A075SB', 'QAAPF15A075SC', 'QAAPF15A075SEB', 'QAAPF15A075SEC', 'QAAPF15A075SEM', 'QAAPF15A075SEN', 'QAAPF15A075SEO', 'QAAPF15A075SET', 'QAAPF15A075SM', 'QAAPF15A075SN', 'QAAPF15A075SO', 'QAAPF15A075ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450027106', '0883450027113', '0883450027137', '0883450027144', '0883450027151', '0883450027168', '0883450027175', '0883450027182', '0883450189538', '0883450189668', '0883450266871', '0883450267014']","['3.25 in', '82.6 mm']","['6.6 in', '167.6 mm']","['4.29 in', '109 mm']","['7.6 in', '193 mm']","['9.1 in', '231.1 mm']","['1.88 in', '47.8 mm']","['10.44 in', '265.2 mm']","['3.13 in', '79.5 mm']","['1.29 in', '32.8 mm']","['0.625 in', '16 mm']","['3.94 in', '100.1 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPR18A307S,22218 ,3 7/16 in,3.75 in / 95.3 mm,9.25 in / 235 mm,11.25 in / 285.8 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,['Mounted Bearing'],['22218'],['3 7/16 in'],['Imperial'],"['QAAPR18A307SB', 'QAAPR18A307SC', 'QAAPR18A307SEB', 'QAAPR18A307SEC', 'QAAPR18A307SEM', 'QAAPR18A307SEN', 'QAAPR18A307SEO', 'QAAPR18A307SET', 'QAAPR18A307SM', 'QAAPR18A307SN', 'QAAPR18A307SO', 'QAAPR18A307ST']",['Double Concentric'],['Four-Bolt Pillow Block'],"['0883450030403', '0883450030410', '0883450030434', '0883450030441', '0883450030458', '0883450030465', '0883450030472', '0883450030489', '0883450190022', '0883450190138', '0883450267380', '0883450267496']","['3.75 in', '95.3 mm']","['7.69 in', '195.3 mm']","['5.13 in', '130.3 mm']","['9.25 in', '235 mm']","['11.25 in', '285.8 mm']","['2.38 in', '60.5 mm']","['13.63 in', '346.2 mm']","['3.75 in', '95.3 mm']","['1.56 in', '39.6 mm']","['0.75 in', '20 mm']","['4.47 in', '113.5 mm']","['2.59 in', '65.8 mm']","['0.84 in', '21.3 mm']","['5.18 in', '131.6 mm']","['87200 lbf', '388000 N']","['79700 lbf', '355000 N']",['0.23'],['2.90'],['4.31'],['1400 rpm'],['2400 rpm'],['1000 rpm'],['1400 rpm'],['2000 rpm'],['1000 rpm'],"['0.083 in', '2.108 mm']","['0.0030 in', '0.076 mm']",['0.0024'],['0.0039'],"['0.0024 in', '0.060 mm']","['0.0039 in', '0.100 mm']"
