Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension RAA,Dimension SAA,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QAASN10A200S,22210 ,2 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['2 in'],['Imperial'],"['QAASN10A200SB', 'QAASN10A200SC', 'QAASN10A200SEB', 'QAASN10A200SEC', 'QAASN10A200SEM', 'QAASN10A200SEN', 'QAASN10A200SEO', 'QAASN10A200SET', 'QAASN10A200SM', 'QAASN10A200SN', 'QAASN10A200SO', 'QAASN10A200ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450348638', '0883450348645', '0883450348652', '0883450348669', '0883450348676', '0883450348683', '0883450348690', '0883450348706', '0883450348713', '0883450348720', '0883450348737', '0883450348744']","['2.76 in', '70 mm']","['5.35 in', '136 mm']","['2.87 in', '73 mm']","['7.2 in', '183 mm']","['8.5 in', '216 mm']","['10 in', '254 mm']","['2.68 in', '68 mm']","['0.98 in', '25 mm']","['0.625 in', '16 mm']","['3.23 in', '82 mm']","['1.87 in', '47.5 mm']","['0.55 in', '14 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPMD10A200S,22210 ,2 in,2.5 in / 63.5 mm,6.38 in / 162.1 mm,7.44 in / 189 mm,26600 lbf / 118000 N,26300 lbf / 117000 N,,['Mounted Bearing'],['22210'],['2 in'],['Imperial'],,['Double Concentric'],['Two-Bolt Pillow Block'],,"['2.5 in', '63.5 mm']","['5 in', '127 mm']","['2.88 in', '73.2 mm']","['6.38 in', '162.1 mm']","['7.44 in', '189 mm']","['8.88 in', '225.6 mm']","['2.44 in', '62 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.11 in', '79 mm']","['1.87 in', '47.5 mm']","['0.67 in', '17 mm']","['3.75 in', '95.3 mm']","['26600 lbf', '118000 N']","['26300 lbf', '117000 N']",['0.24'],['2.84'],['4.23'],['2400 rpm'],['4200 rpm'],['1800 rpm'],['2400 rpm'],['3550 rpm'],['1800 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAP11A055S,22211 ,55 mm,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['55 mm'],['Metric'],"['QAAP11A055SB', 'QAAP11A055SC', 'QAAP11A055SEB', 'QAAP11A055SEC', 'QAAP11A055SEM', 'QAAP11A055SEN', 'QAAP11A055SEO', 'QAAP11A055SET', 'QAAP11A055SM', 'QAAP11A055SN', 'QAAP11A055SO', 'QAAP11A055ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450286060', '0883450286077', '0883450318792', '0883450318808', '0883450318815', '0883450318822', '0883450318839', '0883450318846', '0883450318853', '0883450318860', '0883450318877', '0883450318884']","['2.5 in', '63.5 mm']","['5.25 in', '133.4 mm']","['3.25 in', '82.6 mm']","['6.5 in', '165.1 mm']","['7.88 in', '200.2 mm']","['9.63 in', '244.6 mm']","['2.63 in', '66.8 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.32 in', '84.3 mm']","['2 in', '50.8 mm']","['0.69 in', '17.5 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPL11A055S,22211 ,55 mm,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.06 in / 179.3 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['55 mm'],['Metric'],"['QAAPL11A055SB', 'QAAPL11A055SC', 'QAAPL11A055SEB', 'QAAPL11A055SEC', 'QAAPL11A055SEM', 'QAAPL11A055SEN', 'QAAPL11A055SEO', 'QAAPL11A055SET', 'QAAPL11A055SM', 'QAAPL11A055SN', 'QAAPL11A055SO', 'QAAPL11A055ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450320573', '0883450320580', '0883450320597', '0883450320603', '0883450320610', '0883450320627', '0883450320634', '0883450320641', '0883450320658', '0883450320665', '0883450320672', '0883450320689']","['2.5 in', '63.5 mm']","['5.25 in', '133.4 mm']","['3.25 in', '82.6 mm']","['6.5 in', '165.1 mm']","['7.06 in', '179.3 mm']","['8.88 in', '225.6 mm']","['2.58 in', '65.5 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.29 in', '83.6 mm']","['2 in', '50.8 mm']","['0.71 in', '18 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAASN11A055S,22211 ,55 mm,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['55 mm'],['Metric'],"['QAASN11A055SB', 'QAASN11A055SC', 'QAASN11A055SEB', 'QAASN11A055SEC', 'QAASN11A055SEM', 'QAASN11A055SEN', 'QAASN11A055SEO', 'QAASN11A055SET', 'QAASN11A055SM', 'QAASN11A055SN', 'QAASN11A055SO', 'QAASN11A055ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450348751', '0883450348768', '0883450348775', '0883450348782', '0883450348799', '0883450348805', '0883450348812', '0883450348829', '0883450348836', '0883450348843', '0883450348850', '0883450348867']","['2.76 in', '70 mm']","['5.55 in', '141 mm']","['3.27 in', '83 mm']","['7.2 in', '183 mm']","['8.5 in', '216 mm']","['10 in', '254 mm']","['2.68 in', '68 mm']","['0.98 in', '25 mm']","['0.625 in', '16 mm']","['3.35 in', '85 mm']","['2 in', '50.8 mm']","['0.67 in', '17 mm']","['4.02 in', '102 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPMD11A055S,22211 ,55 mm,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.94 in / 201.7 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['55 mm'],['Metric'],,['Double Concentric'],['Two-Bolt Pillow Block'],,"['2.75 in', '69.9 mm']","['5.5 in', '139.7 mm']","['3.25 in', '82.6 mm']","['6.88 in', '174.8 mm']","['7.94 in', '201.7 mm']","['9.5 in', '241.3 mm']","['2.63 in', '66.8 mm']","['1.5 in', '38.1 mm']","['0.625 in', '16 mm']","['3.32 in', '84.3 mm']","['2 in', '50.8 mm']","['0.69 in', '17.5 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAP11A203S,22211 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['2 3/16 in'],['Imperial'],"['QAAP11A203SB', 'QAAP11A203SC', 'QAAP11A203SEB', 'QAAP11A203SEC', 'QAAP11A203SEM', 'QAAP11A203SEN', 'QAAP11A203SEO', 'QAAP11A203SET', 'QAAP11A203SM', 'QAAP11A203SN', 'QAAP11A203SO', 'QAAP11A203ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450025508', '0883450025515', '0883450025539', '0883450025546', '0883450025553', '0883450025560', '0883450025577', '0883450025584', '0883450188173', '0883450188333', '0883450265676', '0883450265836']","['2.5 in', '63.5 mm']","['5.25 in', '133.4 mm']","['3.25 in', '82.6 mm']","['6.5 in', '165.1 mm']","['7.88 in', '200.2 mm']","['9.63 in', '244.6 mm']","['2.63 in', '66.8 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.32 in', '84.3 mm']","['2 in', '50.8 mm']","['0.69 in', '17.5 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPL11A203S,22211 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.06 in / 179.3 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['2 3/16 in'],['Imperial'],"['QAAPL11A203SB', 'QAAPL11A203SC', 'QAAPL11A203SEB', 'QAAPL11A203SEC', 'QAAPL11A203SEM', 'QAAPL11A203SEN', 'QAAPL11A203SEO', 'QAAPL11A203SET', 'QAAPL11A203SM', 'QAAPL11A203SN', 'QAAPL11A203SO', 'QAAPL11A203ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450028400', '0883450028417', '0883450028431', '0883450028448', '0883450028455', '0883450028462', '0883450028479', '0883450028486', '0883450188814', '0883450188975', '0883450266314', '0883450266475']","['2.5 in', '63.5 mm']","['5.25 in', '133.4 mm']","['3.25 in', '82.6 mm']","['6.5 in', '165.1 mm']","['7.06 in', '179.3 mm']","['8.88 in', '225.6 mm']","['2.58 in', '65.5 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.29 in', '83.6 mm']","['2 in', '50.8 mm']","['0.71 in', '18 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAASN11A203S,22211 ,2 3/16 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['2 3/16 in'],['Imperial'],"['QAASN11A203SB', 'QAASN11A203SC', 'QAASN11A203SEB', 'QAASN11A203SEC', 'QAASN11A203SEM', 'QAASN11A203SEN', 'QAASN11A203SEO', 'QAASN11A203SET', 'QAASN11A203SM', 'QAASN11A203SN', 'QAASN11A203SO', 'QAASN11A203ST', 'QAASN11A203STNG']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450348874', '0883450348881', '0883450348898', '0883450348904', '0883450348911', '0883450348928', '0883450348935', '0883450348942', '0883450348959', '0883450348966', '0883450348973', '0883450348980', '0883450476539']","['2.76 in', '70 mm']","['5.55 in', '141 mm']","['3.27 in', '83 mm']","['7.2 in', '183 mm']","['8.5 in', '216 mm']","['10 in', '254 mm']","['2.68 in', '68 mm']","['0.98 in', '25 mm']","['0.625 in', '16 mm']","['3.35 in', '85 mm']","['2 in', '50.8 mm']","['0.67 in', '17 mm']","['4.02 in', '102 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPMD11A203S,22211 ,2 3/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.94 in / 201.7 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['2 3/16 in'],['Imperial'],,['Double Concentric'],['Two-Bolt Pillow Block'],,"['2.75 in', '69.9 mm']","['5.5 in', '139.7 mm']","['3.25 in', '82.6 mm']","['6.88 in', '174.8 mm']","['7.94 in', '201.7 mm']","['9.5 in', '241.3 mm']","['2.63 in', '66.8 mm']","['1.5 in', '38.1 mm']","['0.625 in', '16 mm']","['3.32 in', '84.3 mm']","['2 in', '50.8 mm']","['0.69 in', '17.5 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAP11A204S,22211 ,2 1/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['2 1/4 in'],['Imperial'],"['QAAP11A204SB', 'QAAP11A204SC', 'QAAP11A204SEB', 'QAAP11A204SEC', 'QAAP11A204SEM', 'QAAP11A204SEN', 'QAAP11A204SEO', 'QAAP11A204SET', 'QAAP11A204SM', 'QAAP11A204SN', 'QAAP11A204SO', 'QAAP11A204ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450025607', '0883450025614', '0883450025638', '0883450025645', '0883450025652', '0883450025669', '0883450025676', '0883450025683', '0883450188180', '0883450188340', '0883450265683', '0883450265843']","['2.5 in', '63.5 mm']","['5.25 in', '133.4 mm']","['3.25 in', '82.6 mm']","['6.5 in', '165.1 mm']","['7.88 in', '200.2 mm']","['9.63 in', '244.6 mm']","['2.63 in', '66.8 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.32 in', '84.3 mm']","['2 in', '50.8 mm']","['0.69 in', '17.5 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPL11A204S,22211 ,2 1/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.06 in / 179.3 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['2 1/4 in'],['Imperial'],"['QAAPL11A204SB', 'QAAPL11A204SC', 'QAAPL11A204SEB', 'QAAPL11A204SEC', 'QAAPL11A204SEM', 'QAAPL11A204SEN', 'QAAPL11A204SEO', 'QAAPL11A204SET', 'QAAPL11A204SM', 'QAAPL11A204SN', 'QAAPL11A204SO', 'QAAPL11A204ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450028509', '0883450028516', '0883450028530', '0883450028547', '0883450028554', '0883450028561', '0883450028578', '0883450028585', '0883450188821', '0883450188982', '0883450266321', '0883450266482']","['2.5 in', '63.5 mm']","['5.25 in', '133.4 mm']","['3.25 in', '82.6 mm']","['6.5 in', '165.1 mm']","['7.06 in', '179.3 mm']","['8.88 in', '225.6 mm']","['2.58 in', '65.5 mm']","['1.25 in', '31.8 mm']","['0.625 in', '16 mm']","['3.29 in', '83.6 mm']","['2 in', '50.8 mm']","['0.71 in', '18 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAASN11A204S,22211 ,2 1/4 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['2 1/4 in'],['Imperial'],"['QAASN11A204SB', 'QAASN11A204SC', 'QAASN11A204SEB', 'QAASN11A204SEC', 'QAASN11A204SEM', 'QAASN11A204SEN', 'QAASN11A204SEO', 'QAASN11A204SET', 'QAASN11A204SM', 'QAASN11A204SN', 'QAASN11A204SO', 'QAASN11A204ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450348997', '0883450349000', '0883450349017', '0883450349024', '0883450349031', '0883450349048', '0883450349055', '0883450349062', '0883450349079', '0883450349086', '0883450349093', '0883450349109']","['2.76 in', '70 mm']","['5.55 in', '141 mm']","['3.27 in', '83 mm']","['7.2 in', '183 mm']","['8.5 in', '216 mm']","['10 in', '254 mm']","['2.68 in', '68 mm']","['0.98 in', '25 mm']","['0.625 in', '16 mm']","['3.35 in', '85 mm']","['2 in', '50.8 mm']","['0.67 in', '17 mm']","['4.02 in', '102 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPMD11A204S,22211 ,2 1/4 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.94 in / 201.7 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,['Mounted Bearing'],['22211'],['2 1/4 in'],['Imperial'],,['Double Concentric'],['Two-Bolt Pillow Block'],,"['2.75 in', '69.9 mm']","['5.5 in', '139.7 mm']","['3.25 in', '82.6 mm']","['6.88 in', '174.8 mm']","['7.94 in', '201.7 mm']","['9.5 in', '241.3 mm']","['2.63 in', '66.8 mm']","['1.5 in', '38.1 mm']","['0.625 in', '16 mm']","['3.32 in', '84.3 mm']","['2 in', '50.8 mm']","['0.69 in', '17.5 mm']","['4 in', '101.6 mm']","['31900 lbf', '142000 N']","['31400 lbf', '140000 N']",['0.23'],['2.95'],['4.40'],['2200 rpm'],['3800 rpm'],['1600 rpm'],['2200 rpm'],['3200 rpm'],['1600 rpm'],"['0.050 in', '1.270 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAP13A060S,22213 ,60 mm,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['60 mm'],['Metric'],"['QAAP13A060SB', 'QAAP13A060SC', 'QAAP13A060SEB', 'QAAP13A060SEC', 'QAAP13A060SEM', 'QAAP13A060SEN', 'QAAP13A060SEO', 'QAAP13A060SET', 'QAAP13A060SM', 'QAAP13A060SN', 'QAAP13A060SO', 'QAAP13A060ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450318891', '0883450318907', '0883450318914', '0883450318921', '0883450318938', '0883450318945', '0883450318952', '0883450318969', '0883450318976', '0883450318983', '0883450318990', '0883450319003']","['2.75 in', '69.9 mm']","['5.8 in', '147.3 mm']","['3.81 in', '96.8 mm']","['6.88 in', '174.8 mm']","['8.63 in', '219.2 mm']","['10.25 in', '260.4 mm']","['2.9 in', '73.7 mm']","['1.38 in', '35.1 mm']","['0.625 in', '16 mm']","['3.6 in', '91.4 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAPMD13A208S,22213 ,2 1/2 in,3 in / 76.2 mm,7.5 in / 190.5 mm,8.5 in / 215.9 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,['Mounted Bearing'],['22213'],['2 1/2 in'],['Imperial'],,['Double Concentric'],['Two-Bolt Pillow Block'],,"['3 in', '76.2 mm']","['6 in', '152.4 mm']","['3.81 in', '96.8 mm']","['7.5 in', '190.5 mm']","['8.5 in', '215.9 mm']","['10.75 in', '273.1 mm']","['2.9 in', '73.7 mm']","['1.5 in', '38.1 mm']","['0.75 in', '20 mm']","['3.6 in', '91.4 mm']","['2.15 in', '54.6 mm']","['0.7 in', '17.8 mm']","['4.3 in', '109.2 mm']","['48600 lbf', '216000 N']","['46400 lbf', '206000 N']",['0.24'],['2.79'],['4.15'],['1800 rpm'],['3200 rpm'],['1500 rpm'],['1800 rpm'],['2800 rpm'],['1500 rpm'],"['0.083 in', '2.108 mm']","['0.0015 in', '0.038 mm']",['0.0016'],['0.0026'],"['0.0016 in', '0.040 mm']","['0.0026 in', '0.065 mm']"
QAAP15A211S,22215 ,2 11/16 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 11/16 in'],['Imperial'],"['QAAP15A211SB', 'QAAP15A211SC', 'QAAP15A211SEB', 'QAAP15A211SEC', 'QAAP15A211SEM', 'QAAP15A211SEN', 'QAAP15A211SEO', 'QAAP15A211SET', 'QAAP15A211SM', 'QAAP15A211SN', 'QAAP15A211SO', 'QAAP15A211ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450006941', '0883450007016', '0883450007047', '0883450007115', '0883450007146', '0883450007214', '0883450009522', '0883450009539', '0883450009553', '0883450009560', '0883450009577', '0883450009584']","['3.13 in', '79.5 mm']","['6.47 in', '164.3 mm']","['4.29 in', '109 mm']","['7.88 in', '200.2 mm']","['9.63 in', '244.6 mm']","['11.63 in', '295.4 mm']","['3 in', '76.2 mm']","['1.38 in', '35.1 mm']","['0.75 in', '20 mm']","['3.87 in', '98.3 mm']","['2.37 in', '60.2 mm']","['0.87 in', '22.1 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPL15A211S,22215 ,2 11/16 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 11/16 in'],['Imperial'],"['QAAPL15A211SB', 'QAAPL15A211SC', 'QAAPL15A211SEB', 'QAAPL15A211SEC', 'QAAPL15A211SEM', 'QAAPL15A211SEN', 'QAAPL15A211SEO', 'QAAPL15A211SET', 'QAAPL15A211SM', 'QAAPL15A211SN', 'QAAPL15A211SO', 'QAAPL15A211ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450009591', '0883450009607', '0883450009621', '0883450009638', '0883450009652', '0883450009669', '0883450009676', '0883450009683', '0883450009690', '0883450009706', '0883450009720', '0883450009737']","['3.25 in', '82.6 mm']","['6.59 in', '167.4 mm']","['4.29 in', '109 mm']","['7.7 in', '195.6 mm']","['8.4 in', '213.4 mm']","['10.44 in', '265.2 mm']","['3 in', '76.2 mm']","['1.38 in', '35.1 mm']","['0.75 in', '20 mm']","['3.87 in', '98.3 mm']","['2.37 in', '60.2 mm']","['0.87 in', '22.1 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
QAAPXT15A211S,22215 ,2 11/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,['Mounted Bearing'],['22215'],['2 11/16 in'],['Imperial'],"['QAAPXT15A211SB', 'QAAPXT15A211SC', 'QAAPXT15A211SEB', 'QAAPXT15A211SEC', 'QAAPXT15A211SEM', 'QAAPXT15A211SEN', 'QAAPXT15A211SEO', 'QAAPXT15A211SET', 'QAAPXT15A211SM', 'QAAPXT15A211SN', 'QAAPXT15A211SO', 'QAAPXT15A211ST']",['Double Concentric'],['Two-Bolt Pillow Block'],"['0883450952002', '0883450952019', '0883450952026', '0883450952033', '0883450952040', '0883450952057', '0883450952064', '0883450952071', '0883450952088', '0883450952095', '0883450952101', '0883450952118']","['3.5 in', '88.9 mm']","['6.84 in', '173.7 mm']","['4.29 in', '109 mm']","['9.06 in', '230.1 mm']","['10.44 in', '265.2 mm']","['13 in', '330.2 mm']","['2.98 in', '75.7 mm']","['1.38 in', '35.1 mm']","['0.875 in', '24 mm']","['3.86 in', '98 mm']","['2.37 in', '60.2 mm']","['0.88 in', '22.4 mm']","['4.74 in', '120.4 mm']","['54100 lbf', '240000 N']","['49900 lbf', '222000 N']",['0.22'],['3.14'],['4.67'],['1600 rpm'],['2900 rpm'],['1300 rpm'],['1600 rpm'],['2400 rpm'],['1300 rpm'],"['0.083 in', '2.108 mm']","['0.0020 in', '0.051 mm']",['0.0020'],['0.0031'],"['0.0020 in', '0.050 mm']","['0.0031 in', '0.080 mm']"
