Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Dimension d1,Dimension B1,Dimension S1,Dimension T,Static Load Rating,Dynamic Load Rating,Dimension A1
VAK 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,17 mm,Ball Bearing,GRAE17RRB,Molded Shroud,Two-Bolt Pillow Block,VAK 17,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,28.6 mm/1.126 in,28.6 mm/1.126 in,22.1 mm/0.87 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
VAS 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,17 mm,Ball Bearing,GRAE17RRB,Molded Shroud,Two-Bolt Pillow Block,VAS 17,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,28.6 mm/1.126 in,28.6 mm/1.126 in,22.1 mm/0.87 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
RAK 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,17 mm,Ball Bearing,GE17KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK 17,26.99 mm/1.063 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,8.7 mm,53.2 mm/2.094 in,28.6 mm/1.126 in,37.3 mm/1.469 in,23.4 mm/0.921 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
RAS 17,17 mm,30.2 mm / 1.189 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,17 mm,Ball Bearing,GE17KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS 17,30.16 mm/1.187 in,123.8 mm/4.874 in,30.2 mm/1.189 in,92.1 mm/3.626 in,11.1 mm/0.437 in,22.2 mm/0.874 in,11.9 mm,56.4 mm/2.22 in,28.6 mm/1.126 in,37.3 mm/1.469 in,23.4 mm/0.921 in,15.1 mm/0.594 in,4700 N/1070 lbf,10700 N/2380 lbf,
RSA 17,17 mm,31.8 mm / 1.252 in,4700 N / 1070 lbf,10700 N / 2380 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,17 mm,Ball Bearing,GE17KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA 17,31.75 mm/1.25 in,122.2 mm/4.811 in,31.8 mm/1.252 in,96.8 mm/3.811 in,11.1 mm/0.437 in,14.3 mm/0.563 in,12.7 mm,58.7 mm/2.311 in,28.6 mm/1.126 in,37.3 mm/1.469 in,23.4 mm/0.921 in,15.9 mm/0.626 in,4700 N/1070 lbf,10700 N/2380 lbf,
RAK 3/4,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,G1012KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK 3/4,31.75 mm/1.25 in,127 mm/5 in,33.3 mm/1.311 in,96 mm/3.78 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,33.3 mm/1.311 in,43.7 mm/1.72 in,26.6 mm/1.047 in,16.7 mm/0.657 in,6500 N/1460 lbf,14200 N/3190 lbf,
LAK 3/4,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Labyrinth Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,G1012KLLB,Labyrinth Seal,Two-Bolt Pillow Block,LAK 3/4,31.75 mm/1.25 in,127 mm/5 in,33.3 mm/1.311 in,96 mm/3.78 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,33.3 mm/1.311 in,43.7 mm/1.72 in,26.6 mm/1.047 in,16.7 mm/0.657 in,6500 N/1460 lbf,14200 N/3190 lbf,
RAS 3/4,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,G1012KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS 3/4,33.34 mm/1.313 in,127 mm/5 in,33.3 mm/1.311 in,96.4 mm/3.795 in,11.1 mm/0.437 in,20.2 mm/0.795 in,15.1 mm,65.9 mm/2.594 in,33.3 mm/1.311 in,43.7 mm/1.72 in,26.6 mm/1.047 in,16.7 mm/0.657 in,6500 N/1460 lbf,14200 N/3190 lbf,
RSA 3/4,3/4 in,50.8 mm / 2 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,G1012KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA 3/4,44.45 mm/1.75 in,165.1 mm/6-1/2 in,50.8 mm/2 in,127 mm/5 in,14.3 mm/0.563 in,19 mm/0.748 in,14.3 mm,76.2 mm/3 in,33.3 mm/1.311 in,43.7 mm/1.72 in,26.6 mm/1.047 in,25.4 mm/1.000 in,6500 N/1460 lbf,14200 N/3190 lbf,
RAK 3/4 PT,3/4 in,33.3 mm / 1.311 in,6500 N / 1460 lbf,14200 N / 3190 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,3/4 in,Ball Bearing,G1012KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK 3/4 PT,31.75 mm/1.25 in,127 mm/5 in,33.3 mm/1.311 in,96 mm/3.78 in,11.1 mm/0.437 in,20.2 mm/0.795 in,13.5 mm,64.3 mm/2.531 in,33.3 mm/1.311 in,43.7 mm/1.72 in,26.6 mm/1.047 in,16.7 mm/0.657 in,6500 N/1460 lbf,14200 N/3190 lbf,
