Part Number,Shaft Size d,Total Width,Static Load Rating,Dynamic Load Rating,Seal Type,Housing Construction,CAD,Series,Shaft Size d,Bearing Type,Bearing Number,Seal Type,Housing Construction,Alternate Part Name,Base to Center Height H,Total Length L,Total Width A,Bolt Hole Spacing J,Bolt Hole Width N,Bolt Hole Length N1,Foot Height H1,Total Height H2,Dimension d1,Dimension B1,Dimension S1,Dimension T,Static Load Rating,Dynamic Load Rating,Dimension A1
PB 1 3/16,1 3/16 in,31.8 mm / 1.25 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1 3/16 in,Ball Bearing,RA103RRB,Shroud Seal,Two-Bolt Pillow Block,PB 1 3/16,33.3 mm/1.313 in,123.8 mm/4.875 in,31.8 mm/1.25 in,,10.3 mm/0.406 in,,3.68 mm/0.145 in,66.7 mm/2.625 in,44.1 mm/1.736 in,35.7 mm/1.406 in,26.71 mm/1.052 in,19 mm/0.75 in,11300 N/2530 lbf,21600 N/4850 lbf,
LRPB 1 3/16,1 3/16 in,31.8 mm / 1.25 in,6950 N / 1560 lbf,14600 N / 3350 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1 3/16 in,Ball Bearing,RAL103NPPB,Shroud Seal,Two-Bolt Pillow Block,LRPB 1 3/16,33.3 mm/1.313 in,123.8 mm/4.875 in,31.8 mm/1.25 in,,10.3 mm/0.406 in,,3.68 mm/0.145 in,66.7 mm/2.625 in,42.5 mm/1.672 in,26.2 mm/1.031 in,,19 mm/0.75 in,6950 N/1560 lbf,14600 N/3350 lbf,
VAK1 1/4 S,1 1/4 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GRA103RRB2,Molded Shroud,Two-Bolt Pillow Block,VAK1 1/4 S,39.69 mm/1.563 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,80.2 mm/3.157 in,44.1 mm/1.736 in,35.7 mm/1.406 in,26.71 mm/1.052 in,19.9 mm/0.783 in,11300 N/2530 lbf,21600 N/4850 lbf,
VAK1 1/4,1 1/4 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GRA104RRB,Molded Shroud,Two-Bolt Pillow Block,VAK1 1/4,46.04 mm/1.813 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,92.1 mm/3.626 in,54 mm/2.126 in,38.9 mm/1.531 in,29.4 mm/1.157 in,22.6 mm/0.890 in,15300 N/3440 lbf,28500 N/6400 lbf,
VAS1 1/4 S,1 1/4 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GRA103RRB2,Molded Shroud,Two-Bolt Pillow Block,VAS1 1/4 S,42.86 mm/1.687 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,16.7 mm,83.3 mm/3.28 in,44.1 mm/1.736 in,35.7 mm/1.406 in,26.71 mm/1.052 in,19.9 mm/0.783 in,11300 N/2530 lbf,21600 N/4850 lbf,
VAS1 1/4,1 1/4 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GRA104RRB,Molded Shroud,Two-Bolt Pillow Block,VAS1 1/4,47.62 mm/1.875 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,93.7 mm/3.689 in,54 mm/2.126 in,38.9 mm/1.531 in,29.4 mm/1.157 in,22.6 mm/0.890 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAKH1 1/4,1 1/4 in,57.2 mm / 2.252 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB,Shroud Seal,Two-Bolt Pillow Block,RAKH1 1/4,53.98 mm/2.125 in,203.2 mm/8 in,57.2 mm/2.252 in,144.5 mm/5.689 in,14.3 mm/0.563 in,30.2 mm/1.189 in,19 mm,101.6 mm/4 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,28.6 mm/1.126 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAK1 1/4,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK1 1/4,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
TAK1 1/4,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KPPB2,Tri-Ply Seal,Two-Bolt Pillow Block,TAK1 1/4,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
LAK1 1/4,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Labyrinth Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KLLB,Labyrinth Seal,Two-Bolt Pillow Block,LAK1 1/4,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAS1 1/4,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS1 1/4,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
TAS1 1/4,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KPPB2,Tri-Ply Seal,Two-Bolt Pillow Block,TAS1 1/4,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RSA1 1/4,1 1/4 in,66.7 mm / 2.626 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA1 1/4,60.33 mm/2.375 in,209.6 mm/8.252 in,66.7 mm/2.626 in,158.8 mm/6.252 in,19 mm/0.748 in,31.8 mm/1.252 in,22.2 mm,111.1 mm/4.374 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,33.4 mm/1.315 in,15300 N/3440 lbf,28500 N/6400 lbf,
LAS1 1/4,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB,Shroud Seal,Two-Bolt Pillow Block,LAS1 1/4,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAK 1 1/4S NT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK 1 1/4S NT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAK1 1/4 NT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK1 1/4 NT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAK1 1/4 PT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK1 1/4 PT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAS1 1/4 NT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAS1 1/4 NT,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAS1 1/4 PT,1 1/4 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 1/4 in,Ball Bearing,G1104KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAS1 1/4 PT,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
VAK1 1/4S,1 1/4 in,39.7 mm / 1.563 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 1/4 in,Ball Bearing,GRA103RRB2,Molded Shroud,Two-Bolt Pillow Block,VAK1 1/4S,39.69 mm/1.563 in,157.2 mm/6.189 in,39.7 mm/1.563 in,117.5 mm/4.626 in,14.3 mm/0.563 in,23.8 mm/0.937 in,13.5 mm,80.2 mm/3.157 in,44.1 mm/1.736 in,35.7 mm/1.406 in,26.71 mm/1.052 in,19.9 mm/0.783 in,11300 N/2530 lbf,21600 N/4850 lbf,
PBS 1 1/4S,1 1/4 in,30.2 mm / 1.188 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1 1/4 in,Ball Bearing,RA103RRB2,Shroud Seal,Two-Bolt Pillow Block,PBS 1 1/4S,42.9 mm/1.688 in,158.8 mm/6 1/4 in,30.2 mm/1.188 in,119.1 mm/4.688 in,14.3 mm/0.563 in,22.2 mm/0.875 in,3.4 mm/0.134 in,84.9 mm/3.344 in,44.1 mm/1.736 in,35.7 mm/1.406 in,26.71 mm/1.052 in,,11300 N/2530 lbf,21600 N/4850 lbf,2.64 mm/0.104 in
PBS 1 1/4,1 1/4 in,34.9 mm / 1.375 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1 1/4 in,Ball Bearing,RA104RRB,Shroud Seal,Two-Bolt Pillow Block,PBS 1 1/4,47.6 mm/1.875 in,165.1 mm/6-1/2 in,34.9 mm/1.375 in,127 mm/5 in,14.3 mm/0.563 in,22.2 mm/0.875 in,3.8 mm/0.149 in,94.5 mm/3.719 in,54 mm/2.126 in,38.9 mm/1.531 in,29.4 mm/1.157 in,,15300 N/3440 lbf,28500 N/6400 lbf,2.64 mm/0.104 in
PB 1 1/4S,1 1/4 in,31.8 mm / 1.25 in,11300 N / 2530 lbf,21600 N / 4850 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1 1/4 in,Ball Bearing,RA103RRB2,Shroud Seal,Two-Bolt Pillow Block,PB 1 1/4S,33.3 mm/1.313 in,123.8 mm/4.875 in,31.8 mm/1.25 in,,10.3 mm/0.406 in,,3.68 mm/0.145 in,66.7 mm/2.625 in,44.1 mm/1.736 in,35.7 mm/1.406 in,26.71 mm/1.052 in,19 mm/0.75 in,11300 N/2530 lbf,21600 N/4850 lbf,
RAK1 5/16,1 5/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/16 in,Ball Bearing,G1105KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK1 5/16,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
TAK1 5/16,1 5/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/16 in,Ball Bearing,G1105KPPB2,Tri-Ply Seal,Two-Bolt Pillow Block,TAK1 5/16,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAS1 5/16,1 5/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/16 in,Ball Bearing,G1105KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS1 5/16,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
TAS1 5/16,1 5/16 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/16 in,Ball Bearing,G1105KPPB2,Tri-Ply Seal,Two-Bolt Pillow Block,TAS1 5/16,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RSA1 5/16,1 5/16 in,66.7 mm / 2.626 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/16 in,Ball Bearing,G1105KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA1 5/16,60.33 mm/2.375 in,209.6 mm/8.252 in,66.7 mm/2.626 in,158.8 mm/6.252 in,19 mm/0.748 in,31.8 mm/1.252 in,22.2 mm,111.1 mm/4.374 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,33.4 mm/1.315 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAKH1 5/16,1 5/16 in,57.2 mm / 2.252 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 5/16 in,Ball Bearing,G1105KRRB,Shroud Seal,Two-Bolt Pillow Block,RAKH1 5/16,53.98 mm/2.125 in,203.2 mm/8 in,57.2 mm/2.252 in,144.5 mm/5.689 in,14.3 mm/0.563 in,30.2 mm/1.189 in,19 mm/0.748 in,101.6 mm/4 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,33.4 mm/1.315 in,15300 N/3440 lbf,28500 N/6400 lbf,
VAK1 3/8,1 3/8 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/8 in,Ball Bearing,GRA106RRB,Molded Shroud,Two-Bolt Pillow Block,VAK1 3/8,46.04 mm/1.813 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,92.1 mm/3.626 in,54 mm/2.126 in,38.9 mm/1.531 in,29.4 mm/1.157 in,22.6 mm/0.890 in,15300 N/3440 lbf,28500 N/6400 lbf,
VAS1 3/8,1 3/8 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 3/8 in,Ball Bearing,GRA106RRB,Molded Shroud,Two-Bolt Pillow Block,VAS1 3/8,47.62 mm/1.875 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,93.7 mm/3.689 in,54 mm/2.126 in,38.9 mm/1.531 in,29.4 mm/1.157 in,22.6 mm/0.890 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAKHL1 3/8,1 3/8 in,51.6 mm / 2.031 in,,,Shroud Seal ,Two-Bolt Pillow Block ,,Expansion,1 3/8 in,Ball Bearing,1106KRS,Shroud Seal,Two-Bolt Pillow Block,RAKHL1 3/8,53.98 mm/2.125 in,201.6 mm/7.937 in,51.6 mm/2.031 in,144.5 mm/5.689 in,14.3 mm/0.563 in,30.2 mm/1.189 in,19 mm,106.4 mm/4.189 in,,,,25.8 mm/1.016 in,,,
RAK1 3/8,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,G1106KRRB,Shroud Seal,Two-Bolt Pillow Block,RAK1 3/8,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
TAK1 3/8,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,G1106KPPB2,Tri-Ply Seal,Two-Bolt Pillow Block,TAK1 3/8,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAS1 3/8,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,G1106KRRB,Shroud Seal,Two-Bolt Pillow Block,RAS1 3/8,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
TAS1 3/8,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Tri-Ply Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,G1106KPPB2,Tri-Ply Seal,Two-Bolt Pillow Block,TAS1 3/8,47.63 mm/1.875 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,95.3 mm/3.752 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RSA1 3/8,1 3/8 in,66.7 mm / 2.626 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,G1106KRRB,Shroud Seal,Two-Bolt Pillow Block,RSA1 3/8,60.33 mm/2.375 in,209.6 mm/8.252 in,66.7 mm/2.626 in,158.8 mm/6.252 in,19 mm/0.748 in,31.8 mm/1.252 in,22.2 mm,111.1 mm/4.374 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,33.4 mm/1.315 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAK1 3/8 NT,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,G1106KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK1 3/8 NT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
RAK1 3/8 PT,1 3/8 in,46.8 mm / 1.843 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,G1106KRRB TDCF,Shroud Seal,Two-Bolt Pillow Block,RAK1 3/8 PT,46.04 mm/1.813 in,166.7 mm/6.563 in,46.8 mm/1.843 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,93.7 mm/3.689 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,23.4 mm/0.921 in,15300 N/3440 lbf,28500 N/6400 lbf,
PBS 1 3/8,1 3/8 in,34.9 mm / 1.375 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Light-Duty,1 3/8 in,Ball Bearing,RA106RRB,Shroud Seal,Two-Bolt Pillow Block,PBS 1 3/8,47.6 mm/1.875 in,165.1 mm/6-1/2 in,34.9 mm/1.375 in,127 mm/5 in,14.3 mm/0.563 in,22.2 mm/0.875 in,3.8 mm/0.149 in,94.5 mm/3.719 in,54 mm/2.126 in,38.9 mm/1.531 in,29.4 mm/1.157 in,,15300 N/3440 lbf,28500 N/6400 lbf,2.64 mm/0.104 in
RAKH1 3/8,1 3/8 in,57.2 mm / 2.252 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Shroud Seal ,Two-Bolt Pillow Block ,,Industrial,1 3/8 in,Ball Bearing,G1106KRRB,Shroud Seal,Two-Bolt Pillow Block,RAKH1 3/8,53.98 mm/2.125 in,203.2 mm/8 in,57.2 mm/2.252 in,144.5 mm/5.689 in,14.3 mm/0.563 in,30.2 mm/1.189 in,19 mm/0.748 in,101.6 mm/4 in,54 mm/2.126 in,51.2 mm/2.016 in,32.35 mm/1.274 in,28.6 mm/1.126 in,15300 N/3440 lbf,28500 N/6400 lbf,
VAK1 7/16,1 7/16 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 7/16 in,Ball Bearing,GRA107RRB,Molded Shroud,Two-Bolt Pillow Block,VAK1 7/16,46.04 mm/1.813 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,16.7 mm,92.1 mm/3.626 in,54 mm/2.126 in,38.9 mm/1.531 in,29.4 mm/1.157 in,22.6 mm/0.890 in,15300 N/3440 lbf,28500 N/6400 lbf,
VAS1 7/16,1 7/16 in,45.2 mm / 1.78 in,15300 N / 3440 lbf,28500 N / 6400 lbf,Molded Shroud ,Two-Bolt Pillow Block ,,Standard,1 7/16 in,Ball Bearing,GRA107RRB,Molded Shroud,Two-Bolt Pillow Block,VAS1 7/16,47.62 mm/1.875 in,166.7 mm/6.563 in,45.2 mm/1.78 in,130.2 mm/5.126 in,14.3 mm/0.563 in,24.6 mm/0.969 in,18.3 mm,93.7 mm/3.689 in,54 mm/2.126 in,38.9 mm/1.531 in,29.4 mm/1.157 in,22.6 mm/0.890 in,15300 N/3440 lbf,28500 N/6400 lbf,
